S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,5820872.0,Karabi Art Community Pvt Ltd,INR,"646,000",Greater Noida Industrial Development Authority,2026_GNIDA_1107495_2,SM/(TENDER CELL)/2026/700 DATED-14.01.2026,"Installation of Floral Replica of Different Types of Birds and Related Creatures (In City Park) for Flower Show 2026, Greater Noida",1.0,5826401.0,Davinder Sood,27-Jan-2026 03:14 PM,Rejected-Finance,L3,07-Apr-2026 03:07 PM,07-Apr-2026,"INR 646,000",7.0,RAM KUMAR,07-Apr-2026 03:09 PM,6999.pdf (351.00 KB),AWARD LETTER,PGM_HORT,Internal,DGM_FINANCESM_WC-6 SM_TECHNICAL,RAM KUMAR,09-Feb-2026 06:13 PM,09-Feb-2026 06:30 PM,techsummary_2044196.pdf (2539.06 KB),Finance,UNDER EVALUATION,RAKESH BABU,09-Feb-2026 06:41 PM,,BOQ Comparative Chart,GM_PROJECT,Internal,DGM_FINANCE SM_WC-8 SM_TECHNICAL,RAM KUMAR,07-Apr-2026 03:07 PM,finsummary_2044196.pdf (147.70 KB),Technical,UNDER EVALUATION,RAKESH BABU,30-Jan-2026 05:31 PM,,AOC,19-Jan-2026 06:00 PM,30-Jan-2026 11:00 AM,19-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,NA ,NA ,19-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,09-Feb-2026 06:30 PM,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",1.0,SBI Bank,1.0,REVISED SCHEDULE,Date,,"Installation of Floral Replica of Different Types of Birds and Related Creatures (In City Park) for Flower Show 2026, Greater Noida","Installation of Floral Replica of Different Types of Birds and Related Creatures (In City Park) for Flower Show 2026, Greater Noida",REFER TENDER DOCUMENT ,NA ,"6,80,000",Miscellaneous Works,HORTICULTURE WORK ,Tender,90.0,7.0,GREATER NOIDA,201308.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,840.0,Nil,Nil,No,"13,600",No,fixed,,Nil,Nil,SM_TENDER CELL,GNIDA OFFICE,Greater Noida Industrial Development Authority,SM/(TENDER CELL)/2026/700 DATED-14.01.2026,2026_GNIDA_1107495_2,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2.0,5820872.0,Karabi Art Community Pvt Ltd,24-Jan-2026 11:45 AM,Accepted-AOC,L1,07-Apr-2026 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,5821771.0,Masc World Pvt. Ltd.,24-Jan-2026 05:56 PM,Rejected-Finance,L2,07-Apr-2026 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4.0,5827525.0,Shri sai enterprises,27-Jan-2026 04:21 PM,Rejected-Technical,DIS-QUALIFIED,09-Feb-2026 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
