Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
31-Jan-2026 02:50 PM,06-Feb-2026 11:00 AM,31-Jan-2026 02:50 PM,06-Feb-2026 09:00 AM,NA ,NA ,31-Jan-2026 02:50 PM,06-Feb-2026 09:00 AM,03-Apr-2026 01:20 PM,"17,000",No,fixed,,E E U P Scidco,Ayodhya,Under the MLC Develepment Fund Construction of C C Roads 185.00 Metres at Block Shukul Bazar Dist Amethi,Under the MLC Develepment Fund Construction of C C Roads 185.00 Metres at Block Shukul Bazar Dist Amethi,Please refer Tender documents. ,NA ,,Construction Works,Construction of C C Roads  ,Tender,90.0,60.0,Amethi,227405.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya  ,03-Feb-2026 11:00 AM ,EE office up scidco,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,587/E E/Ayo/E Tender/MLA Amethi/25-26 09.01.2026,2026_SCIDC_1105153_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,"1,062",online,Ayodhya,No,1,Fee/PreQual/Technical,.pdf,Under the MLC Develepment Fund Construction of C C Roads 185.00 Metres at Block Shukul Bazar,1,FDR - Fixed Deposit,AOC,Finance,Bid opening summary,Jagpal Verma,16-Apr-2026 04:49 PM,finance_2052715.pdf,BOQ Comparative Chart,EE,Internal,E E Asst Acct,Jagpal Verma,03-Apr-2026 01:08 PM,03-Apr-2026 01:20 PM,techsummary_2052715.pdf (325.51 KB),Technical,Bid opening summary,Jagpal Verma,03-Apr-2026 01:02 PM,technical_2052715.pdf,EE,Internal,E E Asst Acct,Jagpal Verma,16-Apr-2026 05:06 PM,finsummary_2052715.pdf (365.66 KB),16-Apr-2026,"INR 870,000",60.0,Jagpal Verma,16-Apr-2026 05:13 PM,LIO.pdf (383.00 KB),Under the MLC Develepment Fund Construction of C C Roads 185.00 Metres at Block Shukul Bazar Dist Amethi,1,5841793,M/S J P CONSTRUCTION,04-Feb-2026 10:36 AM,Rejected-Finance,not ok,16-Apr-2026 05:06 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1105153_2,587/E E/Ayo/E Tender/MLA Amethi/25-26 09.01.2026,Under the MLC Develepment Fund Construction of C C Roads 185.00 Metres at Block Shukul Bazar Dist Amethi,1.0,5841218.0,SMT Vidya devi,INR,"870,000",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5841218,SMT Vidya devi,03-Feb-2026 05:54 PM,Accepted-AOC,ok,16-Apr-2026 05:13 PM,,,,,,,,,,AOC
