S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,5902957.0,M/S PRABHAT CONTRACTOR AND ENGINEERS,INR,"1,732,801","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-14, Garh Mukteshwar",2026_UPIDC_1116534_1,06/EE/2025-26,Construction of V.R.B. at km. 26.630 of Hasanpur Dy. under Madhya Ganga Canal Project - Stage II In District Amroha.,1,5902926,Arvind Kumar,21-Feb-2026 12:51 PM,Rejected-Finance,BID IS REJECTED DUE TO L2,30-Apr-2026 03:02 PM,30-Apr-2026,"INR 1,732,801",90.0,Pramod Kumar,30-Apr-2026 03:07 PM,DD.pdf (496.00 KB),PRAMOD KUMAR,Internal,,Pramod Kumar,05-Mar-2026 04:38 PM,05-Mar-2026 04:45 PM,techsummary_2073823.pdf (1105.93 KB),Finance,ok,Pramod Kumar,10-Mar-2026 04:30 PM,,BOQ Comparative Chart,PRAMOD KUMAR,Internal,,Pramod Kumar,30-Apr-2026 03:02 PM,finsummary_2073823.pdf (324.29 KB),Technical,ok,Pramod Kumar,05-Mar-2026 10:51 AM,,AOC,Construction of V.R.B. at km. 26.630 of Hasanpur Dy. under Madhya Ganga Canal Project - Stage II In District Amroha.,Construction of V.R.B. at km. 26.630 of Hasanpur Dy. under Madhya Ganga Canal Project - Stage II In District Amroha.,Please refer Tender documents. ,NA ,"15,29,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Amroha,222244.0,NA ,NA ,NA ,EE MGCCD 14 GARHMUKTESWAR HAPUR,No ,No,944.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-14, Garh Mukteshwar",06/EE/2025-26,2026_UPIDC_1116534_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,16-Feb-2026 01:15 PM,23-Feb-2026 11:00 AM,16-Feb-2026 01:15 PM,23-Feb-2026 10:00 AM,NA ,NA ,16-Feb-2026 01:15 PM,23-Feb-2026 10:00 AM,05-Mar-2026 04:45 PM,EXECUTIVE ENGINEERR,EE MGCCD 14 GARHMUKTESWAR HAPUR,"76,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,2,5910353,JAGDESH PRASAD,22-Feb-2026 04:16 PM,Rejected-Technical,BID IS REJECTED DUE TO NOT QUALIFIED IN TECHNICAL EVALUATION,05-Mar-2026 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5902957,M/S PRABHAT CONTRACTOR AND ENGINEERS,21-Feb-2026 12:29 PM,Accepted-AOC,AOC IS AWARDED DUE TO L1,30-Apr-2026 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5906798,M/S SATAYA BHAN CONTRACTOR,21-Feb-2026 05:05 PM,Rejected-Technical,BID IS REJECTED DUE TO NOT QUALIFIED IN TECHNICAL EVALUATION,05-Mar-2026 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5914617,M/S SAVERA BUILDCON,23-Feb-2026 09:20 AM,Rejected-Technical,BID IS REJECTED DUE TO NOT QUALIFIED IN TECHNICAL EVALUATION,05-Mar-2026 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
