Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical bid open,Sujit Kumar Sinha,10-Mar-2026 03:28 PM,technical_2081060.pdf,04-Apr-2026,"INR 846,460.68",180.0,Sujit Kumar Sinha,10-Apr-2026 04:47 PM,Document2.pdf (26.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,16-Mar-2026 03:47 PM,17-Mar-2026 12:00 PM,techsummary_2081060.pdf (429.65 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1119239_28,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",G.P. Pakra Dewariya me C.C. road Sundar Lal ke ghar se Lal Bahadur Nishad ke ghar hote huye Rajanpal Verma ke ghar tak tak interlocking nirman karya-Shivpur_28,1,5948396,AHOK KUMAR,06-Mar-2026 12:26 AM,Accepted-AOC,AOC,10-Apr-2026 04:47 PM,1.0,5948396.0,AHOK KUMAR,INR,"846,460.68",Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,18-Mar-2026 02:17 PM,finsummary_2081060.pdf (401.15 KB),Finance,Financial bid open,Sujit Kumar Sinha,18-Mar-2026 12:02 AM,finance_2081060.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,Technical bid document,G.P. Pakra Dewariya me C.C. road Sundar Lal ke ghar se Lal Bahadur Nishad ke ghar hote huye Rajanpal Verma ke ghar tak tak interlocking nirman karya-Shivpur_28,G.P. Pakra Dewariya me C.C. road Sundar Lal ke ghar se Lal Bahadur Nishad ke ghar hote huye Rajanpal Verma ke ghar tak tak interlocking nirman karya-Shivpur_28,Please refer Tender documents. ,NA ,"7,18,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,Office of the E.E. R.E.D. Bahraich,No ,No,Executive Engineer,Office of the E.E. R.E.D. Bahraich,24-Feb-2026 12:00 PM,10-Mar-2026 12:30 PM,24-Feb-2026 12:00 PM,10-Mar-2026 12:00 PM,NA ,NA ,24-Feb-2026 12:00 PM,10-Mar-2026 12:00 PM,17-Mar-2026 12:00 PM,788.0,Nil,Nil,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",2026_REDUP_1119239_28,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"14,400",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5946570,M/s Rudraksha Construction,05-Mar-2026 11:20 PM,Rejected-Finance,High,18-Mar-2026 02:17 PM,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
