S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1,DD - Demand Draft,"1,000",PO DUDA FARRUKHABAD,FARRUKHABAD,Yes,27-Feb-2026 05:00 PM,09-Mar-2026 02:00 PM,27-Feb-2026 05:00 PM,09-Mar-2026 01:00 PM,NA ,NA ,27-Feb-2026 05:00 PM,09-Mar-2026 01:00 PM,20-Mar-2026 05:30 PM,PO DUDA FARRUKHABAD,FATEHGARH FARRUKHABAD,1.0,Fee/PreQual/Technical,.pdf,NIT,"10,000",Yes,fixed,,PO DUDA FARRUKHABAD,FARRUKHABAD,State Urban Development Agency||District Urban Development Agency||Farrukhabad,411/DUDA/2025-26,2026_SUDA_1120366_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,NAGAR PALIKA PARISHAD FARRUKHABAD WARD 24 MOHALLA KHADIYA AHMADGANJ ME MONI MAURYA KE MAKAN SE KANCHAN BAJPAI KE MAKAN TAK CC AVAM NALI NIRMAN KARYA,NAGAR PALIKA PARISHAD FARRUKHABAD WARD 24 MOHALLA KHADIYA AHMADGANJ ME MONI MAURYA KE MAKAN SE KANCHAN BAJPAI KE MAKAN TAK CC AVAM NALI NIRMAN KARYA,Please refer Tender documents. ,NA ,"4,80,000",Civil Works - Roads,NA ,Tender,30.0,90.0,DUDA FARRUKHABAD,209601.0,NA ,NA ,NA ,DUDA FARRUKHABD,No ,No,AOC,Technical,Admited,Jitendra Singh Yadav,19-Mar-2026 01:11 PM,technical_2083989.pdf,State Urban Development Agency||District Urban Development Agency||Farrukhabad,2026_SUDA_1120366_1,411/DUDA/2025-26,NAGAR PALIKA PARISHAD FARRUKHABAD WARD 24 MOHALLA KHADIYA AHMADGANJ ME MONI MAURYA KE MAKAN SE KANCHAN BAJPAI KE MAKAN TAK CC AVAM NALI NIRMAN KARYA,ARUN KUMAR SINGH,Internal,AE PO PD,Jitendra Singh Yadav,01-Apr-2026 01:49 PM,finsummary_2083989.pdf (620.53 KB),1.0,5958094.0,JANARDHAN AGNIHOTRI,INR,"415,070.13",02-Apr-2026,"INR 415,070.13",90.0,Jitendra Singh Yadav,01-Apr-2026 02:37 PM,committee.pdf (621.00 KB),TENDER VALUE,1.0,5958094.0,JANARDHAN AGNIHOTRI,09-Mar-2026 12:20 PM,Accepted-AOC,LOWER BID,01-Apr-2026 02:37 PM,ARUN KUMAR SINGH,Internal,AE PO PD,Jitendra Singh Yadav,20-Mar-2026 05:25 PM,20-Mar-2026 05:30 PM,techsummary_2083989.pdf (662.38 KB),Finance,ADMITTED,Jitendra Singh Yadav,30-Mar-2026 04:55 PM,finance_2083989.pdf,BOQ Comparative Chart,AOC
2,BC - Bankers Cheque,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5955527.0,KARTAVYA CONSTRUCTION AND SUPPLIERS,09-Mar-2026 12:55 PM,Rejected-AOC,HIGHER BID,01-Apr-2026 02:37 PM,,,,,,,,,,,,,,AOC
3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5958118.0,MS AMLESH RATHORE,09-Mar-2026 12:08 PM,Rejected-AOC,HIGHER BID,01-Apr-2026 02:37 PM,,,,,,,,,,,,,,AOC
4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5956728.0,M/S CHANDRA PRAKASH SHUKLA,08-Mar-2026 03:27 PM,Not Admitted-Finance,Not qualified for AOC,30-Mar-2026 04:55 PM,,,,,,,,,,,,,,AOC
5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
