Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Madhoganj Hardoi,2026_DOLBU_1128366_1,215/NP.Mdg/E-Tender/2025-26/02,Mo Nehru Nagar me Goodluck Telar ki dukan se Daulatyarpur Tirahe tak RCC Road v Nali Paliya ka Nirman karya,1.0,6036574.0,M/S MUZAMMIL KHAN CONTRACTOR,INR,"4,601,010.384",1,6031674,M/S MALIK TRADERS,06-Apr-2026 03:30 PM,Rejected-Finance,rate above,24-Apr-2026 08:15 AM,24-Apr-2026,"INR 4,601,010.384",90.0,Arunima Srivastav,24-Apr-2026 08:49 AM,wpd.pdf (2519.00 KB),work order issue letter no 14/NP.Madhoganj/WO/25-26 date 23-04-2026 L1 Bidder M/S MUZAMMIL KHAN CONTRACTOR,Arunima srivastava_EO,Internal,1-Arunima srivastava_EO_2-Dilipyadav_JE_3-rupeshkhanna_C,Arunima Srivastav,17-Apr-2026 12:03 PM,17-Apr-2026 02:00 PM,techsummary_2104549.pdf (722.99 KB),Finance,Accepted,Arunima Srivastav,24-Apr-2026 07:58 AM,finance_2104549.pdf,BOQ Comparative Chart,ArunimaShrivastava_EO,Internal,1-ArunimaShrivastava_EO_2-dilipyadav_JE_3-rupeshkhanna_C,Arunima Srivastav,24-Apr-2026 08:15 AM,finsummary_2104549.pdf (722.99 KB),Technical,All Bids Accepted,Arunima Srivastav,17-Apr-2026 11:54 AM,technical_2104549.pdf,AOC,Executive Officer,Office Nagar panchayat Madhoganj Hardoi UP 241302,"5,428",Executive Officer,"NP Madhoganj, Hardoi",No,"92,112",No,fixed,,Executive Officer,"NP Madhoganj, Hardoi",20-Mar-2026 04:00 PM,10-Apr-2026 04:00 PM,20-Mar-2026 04:00 PM,09-Apr-2026 05:00 PM,NA ,NA ,20-Mar-2026 04:00 PM,09-Apr-2026 05:00 PM,17-Apr-2026 02:00 PM,Mo Nehru Nagar me Goodluck Telar ki dukan se Daulatyarpur Tirahe tak RCC Road v Nali Paliya ka Nirman karya,Mo Nehru Nagar me Goodluck Telar ki dukan se Daulatyarpur Tirahe tak RCC Road v Nali Paliya ka Nirman karya,Please refer Tender documents. ,NA ,"46,05,616",Civil Works - Roads,RCC Road ,Tender,90.0,90.0,E_O NP_Madhoganj.Hardoi,241302.0,NA ,NA ,NA ,"Office Executive Officer, NP Madhoganj Hardoi UP",No ,No,Directorate of Local Bodies UP||Nagar Panchayat Madhoganj Hardoi,215/NP.Mdg/E-Tender/2025-26/02,2026_DOLBU_1128366_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,technical documents,AOC
,,,,,,,,,2,6036574,M/S MUZAMMIL KHAN CONTRACTOR,08-Apr-2026 01:51 PM,Accepted-AOC,L1 amount recieved,24-Apr-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,2.0,Finance,.xls,Financial documents,AOC
,,,,,,,,,3,6030215,M/S SINGH BROTHERS,06-Apr-2026 02:26 PM,Rejected-Finance,rate above,24-Apr-2026 08:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
