S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6024608.0,MOHD BILAL THEKEDAR,31-Mar-2026 06:10 PM,Accepted-AOC,L1,11-Apr-2026 11:59 AM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1124748_1,1298/NP/NV/RVA/2025-26,"29-npp sandila me wno19 me vibbhin sthano par nali marammat,cc marammmat, nali cross puliya marammat,interlocking marammmat va khadanja marammat ka karya",1.0,6024608.0,MOHD BILAL THEKEDAR,INR,"117,249.12",11-Apr-2026,"INR 117,249.12",60.0,Shiv Kumar,11-Apr-2026 11:59 AM,29.pdf (143.00 KB),eo and je,Internal,,Shiv Kumar,11-Apr-2026 11:56 AM,finsummary_2096023.pdf (143.08 KB),Technical,3 ADMITTED,Shiv Kumar,09-Apr-2026 04:28 PM,,eo and je,Internal,,gaurav Shukla,09-Apr-2026 06:11 PM,09-Apr-2026 06:15 PM,techsummary_2096023.pdf (108.26 KB),Finance,MOHD BILAL THEKEDAR winner,Shiv Kumar,10-Apr-2026 02:19 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,tech,13-Mar-2026 11:00 AM,04-Apr-2026 12:00 PM,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,NA ,NA ,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,09-Apr-2026 06:15 PM,EO and JE,sandila,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,1298/NP/NV/RVA/2025-26,2026_DOLBU_1124748_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"29-npp sandila me wno19 me vibbhin sthano par nali marammat,cc marammmat, nali cross puliya marammat,interlocking marammmat va khadanja marammat ka karya","29-npp sandila me wno19 me vibbhin sthano par nali marammat,cc marammmat, nali cross puliya marammat,interlocking marammmat va khadanja marammat ka karya",Please refer Tender documents. ,NA ,"1,48,000",Civil Works,NA ,Tender,30.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,1,DD - Demand Draft,149.0,adhishashi adhikari nagar palika parishad,sandila,No,"12,600",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,AOC
2.0,6027044.0,M/S OM CONSTRUCTIONS,02-Apr-2026 06:10 PM,Rejected-AOC,L3,11-Apr-2026 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,AOC
3.0,6019368.0,STAR BUILDERS & SUPPLIERS,29-Mar-2026 09:41 PM,Rejected-AOC,L2,11-Apr-2026 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,AOC
