S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,6016259.0,RUDRAKSH ELECTRICAL AND CONSTRUCTION,INR,"1,746,495.01",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2026_UPPRC_1128918_2,07/PM12/UPPCL/2025-26,Installation of 100 No. Solar street lights at various locations in the District Jhansi Development Block Babina.,1,6015967,ONES ASSOCIATION,28-Mar-2026 12:32 PM,Rejected-AOC,l2,20-Apr-2026 01:53 PM,20-Apr-2026,"INR 1,746,495.01",30.0,PRAVEEN KUMAR SHARMA,20-Apr-2026 04:51 PM,aoc2.pdf (412.00 KB),PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,01-Apr-2026 12:17 PM,01-Apr-2026 02:00 PM,techsummary_2105780.pdf (2797.88 KB),Finance,Two Bid Admitted,PRAVEEN KUMAR SHARMA,20-Apr-2026 11:27 AM,finance_2105780.pdf,BOQ Comparative Chart,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,20-Apr-2026 12:41 PM,finsummary_2105780.pdf (1030.25 KB),Technical,Two bid admitted,PRAVEEN KUMAR SHARMA,29-Mar-2026 12:16 PM,technical_2105780.pdf,AOC,1,Fee/PreQual/Technical,.pdf,Technical,"42,000",Yes,fixed,,Nil,Nil,Project Manager Unit 12,129 K K Puri Awas Vikas jhansi,1.0,SBI Bank,23-Mar-2026 09:00 AM,28-Mar-2026 04:00 PM,23-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,23-Mar-2026 09:00 AM ,28-Mar-2026 09:00 AM ,23-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,01-Apr-2026 02:00 PM,Installation of 100 No. Solar street lights at various locations in the District Jhansi Development Block Babina.,Installation of 100 No. Solar street lights at various locations in the District Jhansi Development Block Babina.,As per NIT ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Jhansi,284003.0,NA ,NA ,NA ,Jhansi,No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,07/PM12/UPPCL/2025-26,2026_UPPRC_1128918_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,900",Nil,Nil,No,AOC
,,,,,,,,,2,6016259,RUDRAKSH ELECTRICAL AND CONSTRUCTION,28-Mar-2026 02:18 PM,Accepted-AOC,l1,20-Apr-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
