Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
30-Mar-2026,"INR 60,708,965.3",90.0,Bhartendu Gaur,07-Apr-2026 05:10 PM,AOC.pdf (387.00 KB),AOC,1.0,5975554.0,MS ROAD LINES INDIA PVT LTD,INR,"60,708,965.3","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Ganga Canal Sanchanal Circle, Meerut",2026_UPIDC_1123087_5,08/SE/2025-26,LOT5,1,5972478,Arvind Kumar,16-Mar-2026 11:52 AM,Rejected-Finance,L3,30-Mar-2026 06:35 PM,Technical,05 Bidder Admitted 01 Bidder Not Admitted,Bhartendu Gaur,20-Mar-2026 11:56 AM,technical_2091924.pdf,Mr. Bhartendu Gaur,Internal,Mr. Ramesh Chandra,Bhartendu Gaur,30-Mar-2026 06:35 PM,finsummary_2091924.pdf (1032.18 KB),Finance,L1,Bhartendu Gaur,30-Mar-2026 06:32 PM,finance_2091924.pdf,BOQ Comparative Chart,Mr. Bhartendu Gaur,Internal,Mr. Ramesh Chandra,Bhartendu Gaur,20-Mar-2026 11:59 AM,24-Mar-2026 12:00 PM,techsummary_2091924.pdf (1032.18 KB),AOC,"4,130",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"13,60,000",No,fixed,,Nil,Nil,10-Mar-2026 12:00 PM,16-Mar-2026 01:00 PM,10-Mar-2026 12:00 PM,16-Mar-2026 12:00 PM,NA ,NA ,10-Mar-2026 12:00 PM,16-Mar-2026 12:00 PM,24-Mar-2026 12:00 PM,SE GNSM Meerut,Office of SE GNSM Meerut,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Ganga Canal Sanchanal Circle, Meerut",08/SE/2025-26,2026_UPIDC_1123087_5,Yes,Open Tender,Piece-work,Works,2.0,No,No,Online,No,No,No,LOT5,As per the NIT,Please refer Tender documents. ,NA ,"6,80,00,000",Civil Works,NA ,Tender,90.0,90.0,Hapur,245206.0,Office of SE GNSM Meerut ,Office of SE GNSM Meerut ,11-Mar-2026 01:00 PM ,Office of SE GNSM Meerut,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5970930,M/s B.B.Goyal,15-Mar-2026 11:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5971007,M/S PARBHAT ENTERPRISES,15-Mar-2026 08:07 PM,Rejected-Finance,L4,30-Mar-2026 06:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5975554,MS ROAD LINES INDIA PVT LTD,15-Mar-2026 08:02 PM,Accepted-AOC,L1,07-Apr-2026 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5973122,M/S UNITE ENTERPRISES,15-Mar-2026 10:03 PM,Rejected-Finance,L2,30-Mar-2026 06:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5969843,UMESH CHANDRA MISHRA,15-Mar-2026 07:10 PM,Rejected-Finance,L5,30-Mar-2026 06:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
