Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,2026_UPIDC_1121954_3,06/SE/SRE/2025-26,Lot-03,1.0,5974984.0,GANPATI CONSTRUCTIONS,INR,"33,345,500",1,5974984,GANPATI CONSTRUCTIONS,16-Mar-2026 03:14 PM,Accepted-AOC,L1,02-Apr-2026 06:33 PM,28-Mar-2026,"INR 33,345,500",90.0,CHANDRABHAN YADAV,02-Apr-2026 06:33 PM,3Ganpati.pdf (618.00 KB),AOC,"C.B. YADAV, SE",Internal,"B.P.SINGH, SE, RAMBABU, EE",CHANDRABHAN YADAV,21-Mar-2026 04:40 PM,23-Mar-2026 02:30 PM,techsummary_2088542.pdf (561.24 KB),Finance,SUMMARY UPLOAD IN FINANCIAL EVALUATION,CHANDRABHAN YADAV,27-Mar-2026 05:32 PM,,BOQ Comparative Chart,"C.B. YADAV, SE",Internal,"B.P.SINGH, SE, RAMBABU, EE",CHANDRABHAN YADAV,27-Mar-2026 05:56 PM,finsummary_2088542.pdf (188.61 KB),Technical,SUMMARY UPLOAD IN TECHNICAL EVALUATION,CHANDRABHAN YADAV,21-Mar-2026 04:14 PM,,AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"9,41,000",No,fixed,,Nil,Nil,SE IWC SAHARANPUR,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR,06-Mar-2026 11:30 AM,17-Mar-2026 11:00 AM,06-Mar-2026 11:30 AM,16-Mar-2026 05:00 PM,NA ,NA ,06-Mar-2026 11:30 AM,16-Mar-2026 05:00 PM,23-Mar-2026 02:30 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,06/SE/SRE/2025-26,2026_UPIDC_1121954_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Lot-03,"Flood Protection work for Protection Villages Toderpur, Bhukri, Mukarampur, Lalwala and Tapu Mazri situated on the Left Bank of River Yamuna in Distt. Saharanpur.",Please refer Tender documents. ,NA ,"4,70,36,000",Civil Works,NA ,Tender,90.0,90.0,SAHARANPUR,247001.0,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR ,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR ,26-May-2026 05:07 PM ,OFFICE OF THE SE IWC SAHARANPUR,No ,No,1.0,Date and Time,Date,,"2,714",Nil,Nil,No,AOC
,,,,,,,,,2,5976130,HARBIR SINGH,16-Mar-2026 01:38 PM,Rejected-AOC,L3,02-Apr-2026 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5960556,LAIQUE AHMAD,16-Mar-2026 01:25 AM,Rejected-AOC,L2,02-Apr-2026 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5978513,M/S KOSHER CONSTRUCTION PVT. LTD.,16-Mar-2026 04:41 PM,Rejected-Technical,DISQUALIFIED,21-Mar-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
