Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",06/EE/2025-26,2026_UPIDC_1111706_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Clearance of Amrauli Somali Drain from KM 0.000 to KM 2.000 in District Basti,Clearance of Amrauli Somali Drain from KM 0.000 to KM 2.000 in District Basti,Please refer Tender documents. ,NA ,"1,50,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",03-Feb-2026 10:00 AM,09-Feb-2026 12:30 PM,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,23-Feb-2026 05:00 PM,795.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,AOC,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,20-Feb-2026 09:26 PM,23-Feb-2026 05:00 PM,techsummary_2054765.pdf (44.04 KB),Finance,AS PER UPLOAD,Dinesh Mohan,25-Feb-2026 11:17 AM,,BOQ Comparative Chart,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,25-Feb-2026 11:45 AM,finsummary_2054765.pdf (35.40 KB),Technical,AS PER UPLOAD,Dinesh Mohan,20-Feb-2026 08:09 PM,,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1111706_2,06/EE/2025-26,Clearance of Amrauli Somali Drain from KM 0.000 to KM 2.000 in District Basti,1.0,5850444.0,M/S UMA SHANKAR YADAV,INR,"66,644.36",1,5850893,AKANKSHA ASSOCIATES,08-Feb-2026 09:26 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,07-Apr-2026,"INR 66,644.36",15.0,Dinesh Mohan,07-Apr-2026 04:04 PM,2.pdf (167.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5853297,DIVYADHARA CONSTRUCTION,08-Feb-2026 06:10 PM,Rejected-Technical,AS PER UPLOAD,20-Feb-2026 09:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5851866,JAI SHREE BALA JI TRADERS,08-Feb-2026 11:54 AM,Rejected-Technical,AS PER UPLOAD,20-Feb-2026 09:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5847607,j p enterprises,08-Feb-2026 08:38 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5853748,KALAYANI CONSTRUTION,09-Feb-2026 09:17 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5849619,MANWAR CONSTRUCTIONS,07-Feb-2026 06:39 PM,Rejected-Technical,AS PER UPLOAD,20-Feb-2026 09:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5854439,M/S SHIV ENTERPRISES,09-Feb-2026 12:06 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5841406,M/S SINGH CONSTRUCTION COMPANY,07-Feb-2026 02:26 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5850444,M/S UMA SHANKAR YADAV,08-Feb-2026 05:12 PM,Accepted-AOC,AS PER UPLOAD,07-Apr-2026 04:04 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5849639,OM JI SINGH CONTRACTOR,08-Feb-2026 02:47 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5842539,PRIYANSHU SINGH,07-Feb-2026 07:50 PM,Rejected-Technical,AS PER UPLOAD,20-Feb-2026 09:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5847516,RAM DARASH YADAV,08-Feb-2026 04:06 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5848026,SHUBHAM CONSTRUCTION,07-Feb-2026 12:39 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5855146,SURYAVEER CONSTRUCTION,09-Feb-2026 09:40 AM,Rejected-Technical,AS PER UPLOAD,20-Feb-2026 09:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5848079,SUSHILA ENTERPRISES,09-Feb-2026 02:02 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5850841,TANMAY TRADERS & CONSTRUCTION,09-Feb-2026 01:19 AM,Rejected-Technical,AS PER UPLOAD,20-Feb-2026 09:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5853145,TRIMBAKESHWAR CONSTRUCTION,08-Feb-2026 04:48 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 11:45 AM,,,,,,,,AOC
