Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,358/nppdataganj/2025-26 date 12.02.2026,2026_DOLBU_1115510_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,BG - Bank Guarantee,CIVIL_WORK,NPP DATAGANJ ME BAREILLY ROAD PER ARVIND GUPTA KE PLOT SE DHILBARI PULIYEA KI AUR NALA NIRMAN KARYE,Please refer Tender documents. ,NA ,"32,46,020",Civil Works,NA ,Tender,90.0,90.0,WARD NO 23,243635.0,NA ,NA ,NA ,NPP DATAGANJ,No ,No,13-Feb-2026 10:00 AM,19-Mar-2026 12:00 PM,13-Feb-2026 10:00 AM,18-Mar-2026 05:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,18-Mar-2026 05:00 PM,06-Apr-2026 11:00 AM,"3,24,502",Yes,fixed,,EXECUTIVE OFFICER,Npp dataganj,1.0,Fee/PreQual/Technical,.pdf,Teachnical,"3,835",EXECUTIVE OFFICER,npp dataganj,Yes,EXECUTIVE OFFICER,NPP DATAGANJ,1.0,date corrigendum2,Date,,AOC,vikas anand,Internal,THREE,Vikas Anand,09-Apr-2026 04:13 PM,finsummary_2069869.pdf (189.05 KB),Technical,as per document,Vikas Anand,05-Apr-2026 02:01 PM,technical_2069869.pdf,vikas Anand,Internal,three,Vikas Anand,05-Apr-2026 02:07 PM,06-Apr-2026 11:00 AM,techsummary_2069869.pdf (189.05 KB),Finance,as per documet,Vikas Anand,08-Apr-2026 07:03 PM,finance_2069869.pdf,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,2026_DOLBU_1115510_2,358/nppdataganj/2025-26 date 12.02.2026,CIVIL_WORK,1.0,5925791.0,M/S Mahadev Construction,INR,"3,243,975.007",1,5925814,BUDHPAL CONTRACTOR,24-Feb-2026 07:18 PM,Rejected-Finance,ABOVE,09-Apr-2026 04:13 PM,09-Apr-2026,"INR 3,243,975.007",90.0,Vikas Anand,10-Apr-2026 12:21 PM,W5510_2.pdf (677.00 KB),BAREILLY ROAD PER ARVIND GUPTA KE PLOT SE DHILWARI PULIYEA KI AUR RCC NALA NIRMAN KARYE,AOC
,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,financial,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5925791,M/S Mahadev Construction,24-Feb-2026 07:12 PM,Accepted-AOC,OK,10-Apr-2026 12:21 PM,,,,,,,,AOC
,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5925853,M/S MAHESH CHAND GUPTA THEKEDAR,24-Feb-2026 07:25 PM,Rejected-Finance,ABOVE,09-Apr-2026 04:13 PM,,,,,,,,AOC
