Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1116584_4,2074/red/tender/unnao/2025-26 Dt- 27-01-2026,Vikash Khand Miyanganj me Makhi Rasoolabad Road se Bhartiya Vidhalay Purwa tak Interlocking Road ka Nirman karye,1.0,5888896.0,M/s. Ahinsa Construction,INR,"1,375,522.34",1,5888896,M/s. Ahinsa Construction,19-Feb-2026 09:09 PM,Accepted-AOC,l1,16-Apr-2026 02:25 PM,16-Apr-2026,"INR 1,375,522.34",90.0,Narendra chaudhary,16-Apr-2026 02:25 PM,Makhi004.pdf (1084.00 KB),1375522.34,ER Narendra Chaudhary,Internal,,Narendra chaudhary,16-Apr-2026 02:22 PM,finsummary_2074053.pdf (1083.77 KB),Technical,Summary,Narendra chaudhary,06-Mar-2026 11:06 AM,technical_2074053.pdf,Er Narendra Chaudhary,Internal,,Narendra chaudhary,06-Mar-2026 11:08 AM,06-Mar-2026 11:10 AM,techsummary_2074053.pdf (607.82 KB),Finance,Summnary,Narendra chaudhary,16-Apr-2026 02:21 PM,finance_2074053.pdf,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2074/red/tender/unnao/2025-26 Dt- 27-01-2026,2026_REDUP_1116584_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"28,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,Er Narendra Chaudhary,Vikash Bhawan Unnao,Vikash Khand Miyanganj me Makhi Rasoolabad Road se Bhartiya Vidhalay Purwa tak Interlocking Road ka Nirman karye,Vikash Khand Miyanganj me Makhi Rasoolabad Road se Bhartiya Vidhalay Purwa tak Interlocking Road ka Nirman karye,Plz Refer Doc ,NA ,"13,77,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,16-Feb-2026 02:05 PM,21-Feb-2026 05:00 PM,16-Feb-2026 02:05 PM,21-Feb-2026 04:30 PM,NA ,NA ,16-Feb-2026 02:05 PM,21-Feb-2026 04:30 PM,06-Mar-2026 11:10 AM,"1,000",Nil,Nil,No,AOC
,,,,,,,,,2,5898869,M/s Arvind Kumar Pandey,19-Feb-2026 08:51 PM,Rejected-AOC,l2,16-Apr-2026 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
