S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1,5959187,ARVIND KUMAR SINGH,10-Mar-2026 10:16 PM,Rejected-AOC,L5,09-Apr-2026 01:56 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Construction Circle, Varanasi",2026_UPIDC_1122058_6,04/SE/2025-26,Constructing Geo Textile Tube Cutter for Protection of Village Group of Kurtha And Ancient Pawahari Baba Aahsram between Km. 0.000 To Km. 1.000 on Left Bank of River Ganga in Tahsil Sadar of District- Ghazipur.,1.0,5964567.0,M/S JAI MAA CONSTRUCTION,INR,"21,966,800",30-Mar-2026,"INR 21,966,800",60.0,Seemant Seemant,09-Apr-2026 01:55 PM,14.pdf (95.00 KB),AOC,SEEMANT,Internal,G.C.SINGH,Seemant Seemant,30-Mar-2026 04:41 PM,finsummary_2088934.pdf (106.01 KB),Technical,Technical evaluation,Seemant Seemant,17-Mar-2026 07:28 PM,technical_2088934.pdf,SEEMANT,Internal,G.C.SINGH,Seemant Seemant,17-Mar-2026 07:58 PM,21-Mar-2026 10:00 AM,techsummary_2088934.pdf (106.01 KB),Finance,Financial evaluation,Seemant Seemant,30-Mar-2026 04:27 PM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Construction Circle, Varanasi",04/SE/2025-26,2026_UPIDC_1122058_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Constructing Geo Textile Tube Cutter for Protection of Village Group of Kurtha And Ancient Pawahari Baba Aahsram between Km. 0.000 To Km. 1.000 on Left Bank of River Ganga in Tahsil Sadar of District- Ghazipur.,Constructing Geo Textile Tube Cutter for Protection of Village Group of Kurtha And Ancient Pawahari Baba Aahsram between Km. 0.000 To Km. 1.000 on Left Bank of River Ganga in Tahsil Sadar of District- Ghazipur.,Please refer Tender documents. ,NA ,"3,27,00,000",Civil Works,NA ,Tender,90.0,60.0,Sadar District - Ghazipur,233001.0,NA ,NA ,NA ,"S.E.Irrigation Construction Circle, Varanasi",No ,No,"S.E.Irrigation Construction Circle, Varanasi","Superintending Engineer, Irrigation Construction Circle, Varanasi.",07-Mar-2026 02:00 PM,12-Mar-2026 03:00 PM,07-Mar-2026 02:00 PM,12-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 02:00 PM,12-Mar-2026 02:00 PM,21-Mar-2026 10:00 AM,"6,54,000",No,fixed,,Nil,Nil,"2,714",Nil,Nil,No,AOC
2,5964567,M/S JAI MAA CONSTRUCTION,12-Mar-2026 11:33 AM,Accepted-AOC,L1,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Financial Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,5965095,M/S KAUSHAL KUMAR SINGH,11-Mar-2026 05:47 PM,Rejected-AOC,L8,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,5964508,M/s Modern Construction,11-Mar-2026 07:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,5966121,M/S NIRMALA RAI CONTRACTOR,12-Mar-2026 12:42 PM,Rejected-AOC,L9,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,5967064,M/S RADHIKA CONSTRUCTION COMPANY,12-Mar-2026 01:21 PM,Rejected-AOC,L4,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,5965846,M/s Rai Construction,12-Mar-2026 11:36 AM,Rejected-AOC,L7,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,5965154,M/S RANA PRATAP SINGH,12-Mar-2026 01:40 PM,Rejected-AOC,L6,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,5964794,M/s SRI NATH CONSTRUCTION COMPANY,11-Mar-2026 09:10 PM,Rejected-AOC,L2,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,5966501,M/S SUNIDHI ENTERPRISES,12-Mar-2026 08:48 AM,Rejected-AOC,L3,09-Apr-2026 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
