Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",05/EE/2025-26,2026_UPIDC_1119844_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,25-Feb-2026 11:30 AM,05-Mar-2026 12:00 PM,25-Feb-2026 11:30 AM,05-Mar-2026 11:30 AM,NA ,NA ,25-Feb-2026 11:30 AM,05-Mar-2026 11:30 AM,19-Mar-2026 12:30 PM,05/EE/2025-26(LOT-1),05/EE/2025-26(LOT-1),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,MORADABAD,244001.0,NA ,NA ,NA ,MEERUT,No ,No,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,As per NIT,"1,35,000",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER,"OFFICE OF EE MGCCD6, MEERUT",AOC,Technical,03 Bidder submitted you bids 02 bidder admitted 01 bidder not Admitted,himanshu dharia,19-Mar-2026 11:52 AM,technical_2082861.pdf,Himanshu Dharia,Internal,S N UPENDRA ROHIT,himanshu dharia,20-Mar-2026 09:19 PM,finsummary_2082861.pdf (21.45 KB),Finance,02 Bidder Admitted,himanshu dharia,20-Mar-2026 09:06 PM,finance_2082861.pdf,BOQ Comparative Chart,Himanshu Dharia,Internal,SN UPENDRA ROHIT,himanshu dharia,19-Mar-2026 12:20 PM,19-Mar-2026 12:30 PM,techsummary_2082861.pdf (236.72 KB),23-Mar-2026,"INR 1,349,588.287",90.0,himanshu dharia,11-Apr-2026 07:07 AM,boqcomparativechartlt1.pdf (21.00 KB),L1,1,5947004,JS cONSTRUCTIONS,04-Mar-2026 11:56 PM,Rejected-Finance,L2,20-Mar-2026 09:19 PM,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",2026_UPIDC_1119844_1,05/EE/2025-26,05/EE/2025-26(LOT-1),1.0,5946753.0,S S CONSTRUCTION COMPANY,INR,"1,349,588.287",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,As per BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5947384,SHRI JAGANNATH SHARMA CONSTRUCTIONS,05-Mar-2026 11:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Mar-2026 11:52 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5946753,S S CONSTRUCTION COMPANY,04-Mar-2026 08:27 PM,Accepted-AOC,L1,11-Apr-2026 07:07 AM,,,,,,,,,,AOC
