EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"35,000",No,fixed,,Nil,Nil,770.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,"Vidhayak Niwas-4, Royal Hotel sthit Awas No.-25 se 74 me saamanya marammat avem rangai putai ka karya","Vidhayak Niwas-4, Royal Hotel sthit Awas No.-25 se 74 me saamanya marammat avem rangai putai ka karya",Please refer Tender documents. ,NA ,"3,50,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow ,EE Maintenance Division 2 (Civil) PWD Lucknow ,06-May-2026 05:50 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,1.0,SBI Bank,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,389/E-Tender/2025-26 dt. 24.02.2026,2026_PWDBL_1120995_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Mar-2026 09:00 AM,09-Mar-2026 12:30 PM,03-Mar-2026 09:00 AM,26-May-2026 05:50 PM,NA ,NA ,03-Mar-2026 09:00 AM,09-Mar-2026 12:00 PM,AOC,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,08-Apr-2026 04:42 PM,finsummary_2086599.pdf (1319.25 KB),1.0,5955797.0,M/S KARMA ENTERPRISES,INR,"345,415.65",Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1120995_24,389/E-Tender/2025-26 dt. 24.02.2026,"Vidhayak Niwas-4, Royal Hotel sthit Awas No.-25 se 74 me saamanya marammat avem rangai putai ka karya",1,5955849,M/S A.V.S. TRADERS,09-Mar-2026 10:41 AM,Rejected-Finance,Financial bid Rejected due to L2,08-Apr-2026 04:42 PM,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,08-Apr-2026 04:38 PM,techsummary_2086599.pdf (1319.25 KB),Finance,Evaluation Letter,DILIP KUMAR,16-Mar-2026 05:11 PM,finance_2086599.pdf,BOQ Comparative Chart,08-Apr-2026,"INR 345,415.65",30.0,DILIP KUMAR,08-Apr-2026 04:49 PM,517.pdf (501.00 KB),AOC for Acceptance No 517 date 18.03.2026,AOC
,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,5955797,M/S KARMA ENTERPRISES,09-Mar-2026 09:24 AM,Accepted-AOC,Financial bid is accepted at the Price Rs. 345415.65 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,08-Apr-2026 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC
