S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,5970554.0,VIJAY ASSOCIATES,INR,"17,635,645","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Ganga Canal Sanchanal Circle, Meerut",2026_UPIDC_1123087_6,08/SE/2025-26,LOT6,1,5977281,JAI LAXMI CONTRACTOR,16-Mar-2026 11:35 AM,Rejected-Finance,L2,30-Mar-2026 06:40 PM,30-Mar-2026,"INR 17,635,645",90.0,Bhartendu Gaur,07-Apr-2026 05:12 PM,AOC.pdf (553.00 KB),AOC,Mr. Bhartendu Gaur,Internal,Mr. Ramesh Chandra,Bhartendu Gaur,30-Mar-2026 06:40 PM,finsummary_2091938.pdf (1032.18 KB),Technical,05 Bidder Admitted 07 Bidder Not Admitted,Bhartendu Gaur,20-Mar-2026 12:06 PM,technical_2091938.pdf,Mr. Bhartendu Gaur,Internal,Mr. Ramesh Chandra,Bhartendu Gaur,20-Mar-2026 12:10 PM,24-Mar-2026 12:00 PM,techsummary_2091938.pdf (1032.18 KB),Finance,L1 Details,Bhartendu Gaur,30-Mar-2026 06:37 PM,finance_2091938.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,1.0,SBI Bank,10-Mar-2026 12:00 PM,16-Mar-2026 01:00 PM,10-Mar-2026 12:00 PM,16-Mar-2026 12:00 PM,NA ,NA ,10-Mar-2026 12:00 PM,16-Mar-2026 12:00 PM,24-Mar-2026 12:00 PM,"4,130",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Ganga Canal Sanchanal Circle, Meerut",08/SE/2025-26,2026_UPIDC_1123087_6,Yes,Open Tender,Piece-work,Works,2.0,No,No,Online,No,No,No,"5,16,000",No,fixed,,Nil,Nil,LOT6,As per the NIT,Please refer Tender documents. ,NA ,"2,58,00,000",Civil Works,NA ,Tender,90.0,90.0,Bulandshahr,203001.0,Office of SE GNSM Meerut ,Office of SE GNSM Meerut ,11-Mar-2026 01:00 PM ,Office of SE GNSM Meerut,No ,No,SE GNSM Meerut,Office of SE GNSM Meerut,AOC
,,,,,,,,,2,5976267,MEGHENDRA PAL SINGH CONTRECTOR,16-Mar-2026 11:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5976717,M/S Harish Kumar Contractor,16-Mar-2026 08:42 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5976178,M/s MAHAKAAL ASSOCIATES,16-Mar-2026 11:31 AM,Rejected-Finance,L4,30-Mar-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5970583,M/S SUDHIR KUMAR CONTRACTOR,16-Mar-2026 10:55 AM,Rejected-Finance,L3,30-Mar-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5977319,M/s VINAY KUMAR CONTRACTOR,16-Mar-2026 11:58 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5974932,M/S YOGESH ENTERPRISES,16-Mar-2026 11:37 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5969017,PRAGATI ASSOCIATES,16-Mar-2026 11:21 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5974689,rupendra kumar bhardwaj,15-Mar-2026 05:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5974541,S F INFRA PROJECTS,15-Mar-2026 04:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
