Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Saharanpur Municipal Corporation Saharanpur UP,2026_NNSAH_1124391_1,WW/754/CFC/2025-26,Laying of 350mm dia Sewar Line Near of Durga Mandir Pathanpura ward No 24,1.0,5988899.0,ROHIT ARYA CONTRACTOR,INR,"659,184",1.0,5988899.0,ROHIT ARYA CONTRACTOR,19-Mar-2026 02:08 PM,Accepted-AOC,L1,23-Apr-2026 01:09 PM,23-Apr-2026,"INR 659,184",60.0,Vijay Bahadur singh,23-Apr-2026 01:09 PM,754ggg.pdf (458.00 KB),L1,Azmain Warsi,Internal,Azmain Warsi,Vijay Bahadur singh,23-Apr-2026 12:45 PM,finsummary_2095311.pdf (201.54 KB),Technical,Admitted,Vijay Bahadur singh,08-Apr-2026 11:36 AM,technical_2095311.pdf,Azmain Warsi,Internal,Azmain Warsi,Vijay Bahadur singh,08-Apr-2026 12:22 PM,08-Apr-2026 12:25 PM,techsummary_2095311.pdf (583.44 KB),Finance,Admitted,Vijay Bahadur singh,08-Apr-2026 05:19 PM,finance_2095311.pdf,BOQ Comparative Chart,AOC,Laying of 350mm dia Sewar Line Near of Durga Mandir Pathanpura ward No 24,Laying of 350mm dia Sewar Line Near of Durga Mandir Pathanpura ward No 24,Please refer Tender documents. ,NA ,"6,99,548",Civil Works - Water Works,NA ,Tender,90.0,60.0,Ward No 24,247001.0,NA ,NA ,NA ,JalKal Vibhag Nagar Nigam Saharanpur,No ,No,1,Fee/PreQual/Technical,.pdf,Technical,Saharanpur Municipal Corporation Saharanpur UP,WW/754/CFC/2025-26,2026_NNSAH_1124391_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-Mar-2026 05:52 PM,19-Mar-2026 04:00 PM,12-Mar-2026 04:00 PM,19-Mar-2026 03:00 PM,NA ,NA ,12-Mar-2026 04:00 PM,19-Mar-2026 03:00 PM,08-Apr-2026 12:25 PM,1.0,SBI Bank,"G.M (Jal), Nagar Nigam Saharanpur","G.M (Jal), Nagar Nigam Saharanpur","69,955",No,percentage,10.0%,Nil,Nil,826.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
