Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
21-Jan-2026 05:10 PM,28-Jan-2026 11:00 AM,21-Jan-2026 10:00 AM,27-Jan-2026 05:00 PM,NA ,NA ,21-Jan-2026 10:00 AM,27-Jan-2026 05:00 PM,19-Feb-2026 05:10 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"44,600",Yes,fixed,,Nil,Nil,"2,354",Nil,Nil,No,Construction of Drainage Syphon at Km 0.985 of Amrahwa Mr.,Construction of Drainage Syphon at Km 0.985 of Amrahwa Mr.,Please refer Tender documents. ,NA ,"22,30,000",Civil Works - Canal,NA ,Tender,90.0,180.0,Balrampur,271201.0,NA ,NA ,NA ,EE Saryu Nahar Khand-1 Balrampur,No ,No,EE Saryu Nahar Khand-1 Balrampur,EE Saryu Nahar Khand-1 Balrampur,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",03/EE/2025-26,2026_UPIDC_1107737_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,Pramod Kumar,Internal,AKHILESH KUMAR SINGH,Pramod Kumar,19-Feb-2026 10:44 AM,19-Feb-2026 11:00 AM,techsummary_2044681.pdf (170.15 KB),Finance,file add,Pramod Kumar,23-Feb-2026 06:19 PM,finance_2044681.pdf,BOQ Comparative Chart,Pramod Kumar,Internal,AKHILESH KUMAR SINGH,Pramod Kumar,23-Feb-2026 08:22 PM,finsummary_2044681.pdf (170.16 KB),Technical,file add,Pramod Kumar,09-Feb-2026 01:44 PM,technical_2044681.pdf,1,5826565,AKANKSHA ASSOCIATES,27-Jan-2026 01:28 PM,Rejected-Finance,L7,23-Feb-2026 08:22 PM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2026_UPIDC_1107737_8,03/EE/2025-26,Construction of Drainage Syphon at Km 0.985 of Amrahwa Mr.,1.0,5827055.0,SHASHANK SINGH,INR,"1,546,209.53",30-Apr-2026,"INR 1,546,209.53",180.0,Pramod Kumar,30-Apr-2026 04:14 PM,8.pdf (292.00 KB),L1,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5824201,AMRENDRA KUMAR TRIPATHI,27-Jan-2026 07:43 AM,Rejected-Finance,L4,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5823397,DEV CONTRACTOR,25-Jan-2026 05:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Feb-2026 01:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5822640,MAA LAXMI TRADERS,24-Jan-2026 05:21 PM,Rejected-Finance,L9,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5827206,MAHIPAL PANDEY,27-Jan-2026 04:02 PM,Rejected-Finance,L2,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5824205,M/S GANESH DUTT SINGH CONTRACTOR,26-Jan-2026 03:57 PM,Rejected-Finance,L3,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5826241,m/s kanihya lal yadav,27-Jan-2026 11:23 AM,Rejected-Finance,L6,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5826783,M/S MISHRI LAL CONTRACTOR,27-Jan-2026 03:05 PM,Rejected-Finance,L5,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5826853,M/s M.K Traders,27-Jan-2026 01:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Feb-2026 01:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5825018,Onkar nath Dwevedi,27-Jan-2026 12:33 PM,Rejected-Finance,L8,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,5824706,Rakesh Kumar Tripathi Contractor And Supplier,26-Jan-2026 06:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Feb-2026 01:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,12,5827055,SHASHANK SINGH,27-Jan-2026 03:30 PM,Accepted-AOC,L1,30-Apr-2026 04:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,13,5825454,SHUBHAM TRIPATHI,26-Jan-2026 09:59 PM,Rejected-Finance,L10,23-Feb-2026 08:22 PM,,,,,,,,,,,,,,,,,AOC
