Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,2687/RED/PVN-Harriya/2025-26 Dt. 17.02.26,2026_REDUP_1129958_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,944.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,technical,EE REDBASTI,O/O EE REDBASTI,"32,000",Yes,fixed,,Nil,Nil,Vikramjote ke Khatamsarai Gram Panchyat mein Kali prasad ke ghar se kali mata mandir tak cc road nirman karya,Vikramjote ke Khatamsarai Gram Panchyat mein Kali prasad ke ghar se kali mata mandir tak cc road nirman karya,as per sbd ,NA ,"15,92,000",Civil Works,NA ,Tender,90.0,90.0,works,272001.0,NA ,NA ,NA ,O/O EE REDBASTI,No ,No,25-Mar-2026 12:00 PM,02-Apr-2026 12:30 PM,25-Mar-2026 12:00 PM,02-Apr-2026 12:00 PM,25-Mar-2026 12:00 PM ,02-Apr-2026 12:00 PM ,25-Mar-2026 12:00 PM,02-Apr-2026 12:00 PM,11-Apr-2026 12:00 PM,AOC,ER ANKUR VERMA,Internal,EE,Ankur Verma,13-Apr-2026 01:19 PM,finsummary_2107891.pdf (22.04 KB),Technical,c,Ankur Verma,09-Apr-2026 11:46 AM,,ER ANKUR VERMA,Internal,ee,Ankur Verma,09-Apr-2026 12:07 PM,11-Apr-2026 12:00 PM,techsummary_2107891.pdf (257.60 KB),Finance,c,Ankur Verma,13-Apr-2026 12:41 PM,,BOQ Comparative Chart,1,6007120,M/S KRISHNA KUMAR PANDEY CONTRACTOR,31-Mar-2026 12:56 AM,Rejected-Finance,R,13-Apr-2026 01:19 PM,1.0,6006843.0,M/S SUSHAMA PANDEY CONTRACTOR,INR,"1,589,633.15",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,2026_REDUP_1129958_5,2687/RED/PVN-Harriya/2025-26 Dt. 17.02.26,Vikramjote ke Khatamsarai Gram Panchyat mein Kali prasad ke ghar se kali mata mandir tak cc road nirman karya,28-Apr-2026,"INR 1,589,633.15",90.0,Ankur Verma,28-Apr-2026 11:45 AM,boqcomparativechart5.pdf (22.00 KB),a,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6006843,M/S SUSHAMA PANDEY CONTRACTOR,30-Mar-2026 11:34 PM,Accepted-AOC,a,28-Apr-2026 11:44 AM,,,,,,,,,,,,,,,,,AOC
