Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Madhoganj Hardoi,216/NP.Mdg/E-Tender/2025-26/03,2026_DOLBU_1128464_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"2,320",Executive Officer,"NP Madhoganj, Hardoi",No,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,technical documents,20-Mar-2026 05:00 PM,10-Apr-2026 04:00 PM,20-Mar-2026 05:00 PM,09-Apr-2026 05:00 PM,NA ,NA ,20-Mar-2026 05:00 PM,09-Apr-2026 05:00 PM,17-Apr-2026 02:00 PM,"40,339",No,fixed,,Executive Officer,"NP Madhoganj, Hardoi",S/L of PVC Pipe pipeline 90mm dia for water supply in NP Madhoganj,S/L of PVC Pipe pipeline 90mm dia for water supply in NP Madhoganj,Please refer Tender documents. ,NA ,"20,16,960",Pipe Laying Works,Pipe line laying ,Tender,90.0,90.0,E_O NP_Madhoganj.Hardoi,241302.0,NA ,NA ,NA ,"Office Executive Officer, NP Madhoganj Hardoi UP",No ,No,Executive Officer,Office Nagar panchayat Madhoganj Hardoi UP 241302,AOC,Arunima srivastava_EO,Internal,1-Arunima srivastava_EO_2-Dilipyadav_JE_3-rupeshkhanna_C,Arunima Srivastav,17-Apr-2026 12:09 PM,17-Apr-2026 02:00 PM,techsummary_2104736.pdf (722.99 KB),Finance,Accepted,Arunima Srivastav,24-Apr-2026 08:04 AM,finance_2104736.pdf,BOQ Comparative Chart,ArunimaShrivastava_EO,Internal,1-ArunimaShrivastava_EO_2-dilipyadav_JE_3-rupeshkhanna_C,Arunima Srivastav,24-Apr-2026 08:26 AM,finsummary_2104736.pdf (722.99 KB),Technical,All Bids Accepted,Arunima Srivastav,17-Apr-2026 11:58 AM,technical_2104736.pdf,Directorate of Local Bodies UP||Nagar Panchayat Madhoganj Hardoi,2026_DOLBU_1128464_1,216/NP.Mdg/E-Tender/2025-26/03,S/L of PVC Pipe pipeline 90mm dia for water supply in NP Madhoganj,1.0,6036621.0,M/S MUZAMMIL KHAN CONTRACTOR,INR,"2,013,934.56",1,6031695,M/S MALIK TRADERS,06-Apr-2026 03:38 PM,Rejected-Finance,rate above,24-Apr-2026 08:26 AM,24-Apr-2026,"INR 2,013,934.56",90.0,Arunima Srivastav,24-Apr-2026 09:11 AM,wpj.pdf (2599.00 KB),work order issue letter no 15/NP.Madhoganj/WO/25-26 date 23-04-2026 L1 Bidder M/S MUZAMMIL KHAN CONTRACTOR,AOC
,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,2.0,Finance,.xls,Financial documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6036621,M/S MUZAMMIL KHAN CONTRACTOR,08-Apr-2026 02:12 PM,Accepted-AOC,L1 amount recieved,24-Apr-2026 09:11 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6031611,M/S SINGH BROTHERS,06-Apr-2026 02:32 PM,Rejected-Finance,rate above,24-Apr-2026 08:26 AM,,,,,,,,AOC
