Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Gorakhpur Development Authority,41/GDA/2025-26/11022026,2026_GORDA_1119902_7,Yes,Open Limited,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"11,41,000",No,fixed,,Nil,Nil,26-Feb-2026 02:00 PM,06-Mar-2026 03:30 PM,26-Feb-2026 02:00 PM,06-Mar-2026 02:30 PM,26-Feb-2026 02:00 PM ,06-Mar-2026 12:00 PM ,26-Feb-2026 02:00 PM,06-Mar-2026 02:30 PM,30-Mar-2026 11:30 AM,Excutive Engineer,"GDA Office, Taramandal, Gorakhpu.",1.0,SBI Bank,"4,130",Nil,Nil,No,"Construction of a pitch road and RCC drain from Deoria Road to Rajesh Singhs house in Jungle Sikri, Ward No. 6, Khorabar. (Hotmix plant work)",Please refer Tender documents,Please refer Tender documents. ,NA ,"2,28,11,905",Civil Works,NA ,Tender,90.0,240.0,"Ward No. 06, Gorakhpur.",273001.0,NA ,NA ,NA ,GDA Office,No ,No,AOC,Technical,Admitted,Kishan Singh,29-Mar-2026 11:10 AM,technical_2083795.pdf,Pushp Raj Singh,Internal,"Santosh Kumar Kushwaha CFAO, Kishan Singh SE",Kishan Singh,07-Apr-2026 02:24 PM,finsummary_2083795.pdf (211.68 KB),Finance,Admitted,Kishan Singh,07-Apr-2026 02:21 PM,finance_2083795.pdf,BOQ Comparative Chart,Pushp Raj Singh,Internal,"Santosh Kumar Kushwaha CFAO, Kishan Singh SE",Kishan Singh,29-Mar-2026 11:14 AM,30-Mar-2026 11:30 AM,techsummary_2083795.pdf (210.46 KB),08-Apr-2026,"INR 26,568,114.05",240.0,Kishan Singh,17-Apr-2026 04:04 PM,img04172026_0019.pdf (256.00 KB),Quoted amount 22515350.89 GST 18 Percent 4052763.16 Total 26568114.05,1.0,5949304.0,M/s Maa Sharda Nirman,INR,"26,568,114.05",Gorakhpur Development Authority,2026_GORDA_1119902_7,41/GDA/2025-26/11022026,"Construction of a pitch road and RCC drain from Deoria Road to Rajesh Singhs house in Jungle Sikri, Ward No. 6, Khorabar. (Hotmix plant work)",1,5949304,M/s Maa Sharda Nirman,06-Mar-2026 08:01 AM,Accepted-AOC,Qualified,17-Apr-2026 04:04 PM,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5948051,Prabha Construction Infra Private Limited,06-Mar-2026 10:25 AM,Rejected-Finance,High Amount Quoted,07-Apr-2026 02:24 PM,AOC
