Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
22-Apr-2026,"INR 1,541,561.19",120.0,Surya Prakash,22-Apr-2026 04:39 PM,354.pdf (1368.00 KB),1,5930484,M/S MAA PITAMBARA CONSTRUCTION,25-Feb-2026 07:32 PM,Accepted-AOC,Lowest Rate,22-Apr-2026 04:39 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2026_REDUP_1118324_3,1772/RED DEORIA/E-TENDER/2025-26. DATED 17.01.2026,VIKAS KHAND BARHAJ KE GRAM BARWA TOLA KOLHUA PRAVIN PANDEY KE GHAR SE AMARNATH PANDEY KE GHAR TKA C ROAD KA NIRMAN KARYA,1.0,5930484.0,M/S MAA PITAMBARA CONSTRUCTION,INR,"1,541,561.19",Technical,Er. D.K. Kesharwani AE and Shri Kanhaiya Lal DAO,Surya Prakash,11-Mar-2026 05:45 PM,,Er. Surya Prakash,Internal,,Surya Prakash,22-Apr-2026 04:37 PM,finsummary_2078569.pdf (1367.85 KB),Finance,Financial Bid Open,Surya Prakash,23-Mar-2026 03:40 PM,,BOQ Comparative Chart,Er. Surya Prakash,Internal,,Surya Prakash,19-Mar-2026 03:31 PM,20-Mar-2026 10:00 AM,techsummary_2078569.pdf (1278.66 KB),AOC,854.0,Nil,Nil,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,1772/RED DEORIA/E-TENDER/2025-26. DATED 17.01.2026,2026_REDUP_1118324_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"36,000",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,20-Feb-2026 10:00 AM,27-Feb-2026 02:30 PM,20-Feb-2026 10:00 AM,26-Feb-2026 12:00 PM,NA ,NA ,20-Feb-2026 10:00 AM,26-Feb-2026 12:00 PM,20-Mar-2026 10:00 AM,VIKAS KHAND BARHAJ KE GRAM BARWA TOLA KOLHUA PRAVIN PANDEY KE GHAR SE AMARNATH PANDEY KE GHAR TKA C ROAD KA NIRMAN KARYA,VIKAS KHAND BARHAJ KE GRAM BARWA TOLA KOLHUA PRAVIN PANDEY KE GHAR SE AMARNATH PANDEY KE GHAR TKA C ROAD KA NIRMAN KARYA,Please Refer Tender Document ,NA ,"18,20,920",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,AOC
,,,,,,2,5930289,M/S MAA SAVITRI CONSTRUCTIONS,25-Feb-2026 06:31 PM,Rejected-Finance,Highest Rate,22-Apr-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
