Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
EO and JE,sandila,1.0,Fee/PreQual/Technical,.pdf,tech,1.npp sandila bus adde par ankit mob shop se npps office ke gate tak hot mix plant se marg ka nainikaran va dono taraf RCC coverd darin nirman karya,1.npp sandila bus adde par ankit mob shop se npps office ke gate tak hot mix plant se marg ka nainikaran va dono taraf RCC coverd darin nirman karya,Please refer Tender documents. ,NA ,"72,65,000",Civil Works,NA ,Tender,30.0,90.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,1,DD - Demand Draft,"6,15,700",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,1236/NP/NV/RVA/2025-26,2026_DOLBU_1120927_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,date extend,Date,,"7,300",adhishashi adhikari nagar palika parishad,sandila,No,28-Feb-2026 11:00 AM,25-Mar-2026 04:00 PM,28-Feb-2026 11:00 AM,25-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 11:00 AM,25-Mar-2026 03:00 PM,01-Apr-2026 02:45 PM,AOC,Technical,3 bidder admitted,Shiv Kumar,01-Apr-2026 02:40 PM,,eo and je,Internal,,Shiv Kumar,01-Apr-2026 04:07 PM,finsummary_2085197.pdf (476.35 KB),Finance,M/S MARHABA ENTERPRISES winner,Shiv Kumar,01-Apr-2026 04:02 PM,,BOQ Comparative Chart,eo and je,Internal,,Shiv Kumar,01-Apr-2026 02:42 PM,01-Apr-2026 02:45 PM,techsummary_2085197.pdf (476.35 KB),01-Apr-2026,"INR 7,228,673.94",90.0,Shiv Kumar,01-Apr-2026 04:13 PM,sign.pdf (476.00 KB),1.0,6006767.0,FAIZUL HAQ,25-Mar-2026 12:09 PM,Rejected-AOC,L3,01-Apr-2026 04:13 PM,1.0,5992585.0,M/S MARHABA ENTERPRISES,INR,"7,228,673.94",Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1120927_1,1236/NP/NV/RVA/2025-26,1.npp sandila bus adde par ankit mob shop se npps office ke gate tak hot mix plant se marg ka nainikaran va dono taraf RCC coverd darin nirman karya,AOC
,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6006838.0,M/S KAMAL VERMA THEKEDAR,25-Mar-2026 12:27 PM,Rejected-AOC,L2,01-Apr-2026 04:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5992585.0,M/S MARHABA ENTERPRISES,24-Mar-2026 01:10 PM,Accepted-AOC,L1,01-Apr-2026 04:13 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
