Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,259/SE/E-TENDER/2025-26,2026_UPRNS_1120872_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,27-Feb-2026 04:30 PM,18-Mar-2026 10:00 AM,27-Feb-2026 04:30 PM,17-Mar-2026 05:00 PM,NA ,NA ,27-Feb-2026 04:30 PM,17-Mar-2026 05:00 PM,19-Mar-2026 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"CONSTRUCTION OF TYPE-II RESIDENCE (12 NOS.) AT DISTRICT JAIL MAINPURI, DISTRICT-MAINPURI (U.P.)","CONSTRUCTION OF TYPE-II RESIDENCE (12 NOS.) AT DISTRICT JAIL MAINPURI, DISTRICT-MAINPURI (U.P.)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,540.0,"DISTRICT JAIL, MAINPURI",205001.0,NA ,NA ,NA ,AGRA,No ,No,1.0,BG - Bank Guarantee,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA","6,71,420",No,fixed,,EE,TUNDLA,"8,850",EE,TUNDLA,No,AOC,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,20-Mar-2026 01:34 PM,finsummary_2085089.pdf (296.15 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,19-Mar-2026 04:09 PM,technical_2085089.pdf,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,19-Mar-2026 04:15 PM,19-Mar-2026 04:30 PM,techsummary_2085089.pdf (296.14 KB),Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,20-Mar-2026 01:26 PM,finance_2085089.pdf,BOQ Comparative Chart,1,5957199,M.S. Construction,08-Mar-2026 07:52 PM,Accepted-AOC,QUOTED AMOUNT LOWER THEN OTHER BIDER,02-Apr-2026 12:59 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2026_UPRNS_1120872_1,259/SE/E-TENDER/2025-26,"CONSTRUCTION OF TYPE-II RESIDENCE (12 NOS.) AT DISTRICT JAIL MAINPURI, DISTRICT-MAINPURI (U.P.)",1.0,5957199.0,M.S. Construction,INR,"33,544,143.2",25-Mar-2026,"INR 33,544,143.2",540.0,NAGENDRA YADAV,02-Apr-2026 12:59 PM,259.pdf (67.00 KB),QUOTED AMOUNT LOWER THEN OTHER BIDER,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5982214,M/S SHISHU PRATAP SINGH CONTRACTOR,17-Mar-2026 03:37 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,20-Mar-2026 01:34 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5977651,prabhat associates,16-Mar-2026 12:20 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,20-Mar-2026 01:34 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5973193,Sapna Associates,14-Mar-2026 07:43 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,20-Mar-2026 01:34 PM,,,,,,,,,,,,,,,,,AOC
