S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,EE RED GBN,EE RED GBN,766.0,Nil,Nil,No,Construction of Interlocking and drain work from Sudhir sharma house to towards Mandir In Haldoni.,Construction of Interlocking and drain work from Sudhir sharma house to towards Mandir In Haldoni.,Civil Work  ,NA ,"10,02,000",Civil Works,NA ,Tender,90.0,90.0,EE RED GBN,201306.0,NA ,NA ,NA ,EE RED GBN,No ,No,1,Fee/PreQual/Technical,.pdf,T1,"21,000",No,fixed,,Nil,Nil,09-Jan-2026 03:40 PM,14-Jan-2026 04:30 PM,09-Jan-2026 03:40 PM,14-Jan-2026 03:40 PM,NA ,NA ,09-Jan-2026 03:40 PM,14-Jan-2026 03:40 PM,03-Feb-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,850/EERED/GBN//Dt-30.10.2025,2026_REDUP_1105020_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1.0,5801803.0,M/S JINDAL ENTERPRISES,INR,"1,170,048.71",SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,02-Apr-2026 03:24 PM,finsummary_2039038.pdf (219.18 KB),Finance,Sumamry,ShashiBhushan Yadav,03-Feb-2026 02:37 PM,finance_2039038.pdf,BOQ Comparative Chart,1,5801803,M/S JINDAL ENTERPRISES,13-Jan-2026 05:42 PM,Accepted-AOC,L1,20-Apr-2026 01:02 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1105020_12,850/EERED/GBN//Dt-30.10.2025,Construction of Interlocking and drain work from Sudhir sharma house to towards Mandir In Haldoni.,20-Apr-2026,"INR 1,170,048.71",90.0,ShashiBhushan Yadav,20-Apr-2026 01:02 PM,Jindal.pdf (3952.00 KB),Technical,Summary,ShashiBhushan Yadav,29-Jan-2026 05:04 PM,technical_2039038.pdf,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,29-Jan-2026 05:42 PM,03-Feb-2026 12:30 PM,techsummary_2039038.pdf (219.18 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5801855,SINGHAL ENTERPRISES,13-Jan-2026 04:42 PM,Rejected-Finance,L2,02-Apr-2026 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
