Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2187/red/tender/unnao/25-26 dt- 10-02-2026,2026_REDUP_1123792_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"17,100",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,11-Mar-2026 03:40 PM,18-Mar-2026 12:30 PM,11-Mar-2026 03:40 PM,18-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 03:40 PM,18-Mar-2026 12:00 PM,24-Mar-2026 03:50 PM,Vikash Khand Nawabganj ki Gram Tenduwa hiran Kuddi me Lokrani ke Darwaje se Sarvjanik Soochalya tak Interlocking Raod ka Nirman karye.,Vikash Khand Nawabganj ki Gram Tenduwa hiran Kuddi me Lokrani ke Darwaje se Sarvjanik Soochalya tak Interlocking Raod ka Nirman karye.,Plz Refer Doc ,NA ,"8,59,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,"1,000",Nil,Nil,No,1.0,SBI Bank,Er Narendra Chaudhary,Vikas Bhawan Unnao,AOC,Finance,Sumamry,Narendra chaudhary,16-Apr-2026 03:56 PM,finance_2094054.pdf,BOQ Comparative Chart,Narendra Chaudhary,Internal,,Narendra chaudhary,24-Mar-2026 03:47 PM,24-Mar-2026 03:50 PM,techsummary_2094054.pdf (519.88 KB),Technical,Summary,Narendra chaudhary,24-Mar-2026 03:44 PM,technical_2094054.pdf,Er Narendra Chaudhry,Internal,,Narendra chaudhary,16-Apr-2026 03:59 PM,finsummary_2094054.pdf (957.24 KB),16-Apr-2026,"INR 859,294.26",90.0,Narendra chaudhary,16-Apr-2026 04:00 PM,Lokrani.pdf (957.00 KB),l1,1.0,5969497.0,Rishi Prakash jaiswal,INR,"859,294.26",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1123792_7,2187/red/tender/unnao/25-26 dt- 10-02-2026,Vikash Khand Nawabganj ki Gram Tenduwa hiran Kuddi me Lokrani ke Darwaje se Sarvjanik Soochalya tak Interlocking Raod ka Nirman karye.,1,5971309,M/S DIPTI KATIYAR,14-Mar-2026 05:14 AM,Rejected-AOC,l2,16-Apr-2026 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5969497,Rishi Prakash jaiswal,14-Mar-2026 03:42 PM,Accepted-AOC,l1,16-Apr-2026 04:00 PM,AOC
