Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,1894/NPG/2025-26,2026_DOLBU_1123116_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,02,232",No,fixed,,NP,GABHANA,1.0,NIT,Other,,09-Mar-2026 06:55 PM,30-Mar-2026 02:00 PM,09-Mar-2026 06:55 PM,30-Mar-2026 12:00 PM,NA ,NA ,09-Mar-2026 06:55 PM,30-Mar-2026 12:00 PM,01-Apr-2026 09:00 AM,"1,206",NP,GABHANA,No,"N.P. Gabhana, Aligarh","N.P. Gabhana, Aligarh",Supply and Installation of 08 m G.I. octagonal pole with LED street light at ward no. 12 Chaitanynagar From Mata Temple to C.H.C. Hoshpital in Nagar Panchayat Gabhana (Aligarh).,Supply and Installation of 08 m G.I. octagonal pole with LED street light at ward no. 12 Chaitanynagar From Mata Temple to C.H.C. Hoshpital in Nagar Panchayat Gabhana (Aligarh).,Please refer Tender documents. ,NA ,"10,22,321",Street Lighting,NA ,Tender,30.0,30.0,Supply and Installation of 08 m G.I. octagonal pol,202136.0,NA ,NA ,NA ,"N.P. Gabhana, Aligarh",No ,No,AOC,eo,Internal,"je,lipik",naveen kumar,31-Mar-2026 02:00 PM,01-Apr-2026 09:00 AM,techsummary_2092013.pdf (345.22 KB),Finance,Finance Bid Admitted,Renu Yadav,01-Apr-2026 02:11 PM,finance_2092013.pdf,BOQ Comparative Chart,eo,Internal,"JE,LIPIK",Renu Yadav,01-Apr-2026 03:15 PM,finsummary_2092013.pdf (346.77 KB),Technical,Technical Bid Admitted,naveen kumar,31-Mar-2026 10:27 AM,technical_2092013.pdf,1.0,6018307.0,NJ ENTERPRISES,INR,"1,022,116.54",Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,2026_DOLBU_1123116_2,1894/NPG/2025-26,Supply and Installation of 08 m G.I. octagonal pole with LED street light at ward no. 12 Chaitanynagar From Mata Temple to C.H.C. Hoshpital in Nagar Panchayat Gabhana (Aligarh).,1,6018307,NJ ENTERPRISES,29-Mar-2026 01:51 PM,Accepted-AOC,accepted,01-Apr-2026 04:36 PM,02-Apr-2026,"INR 1,022,116.54",60.0,Renu Yadav,01-Apr-2026 04:36 PM,Doc1.pdf (181.00 KB),AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6009740,NK ELECTRIC HOUSE,26-Mar-2026 01:29 PM,Rejected-AOC,accepted,01-Apr-2026 04:36 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6017577,TULSHI HARDWARE TRENDING COMPANY,29-Mar-2026 09:29 AM,Rejected-AOC,accepted,01-Apr-2026 04:36 PM,,,,,,,AOC
