EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"4,60,000",No,fixed,,S E UP SCIDCO,Ayodhya,1.0,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,613/S E/Ayo/E Tender/Cybar Crime Thana/25-26 05.02.2026,2026_SCIDC_1112854_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"5,310",online,Ayodhya,No,1.0,Fee/PreQual/Technical,.pdf,Construction of Cyber Crime Thana Distt Mau UP,SE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,06-Feb-2026 05:15 PM,20-Feb-2026 11:00 AM,06-Feb-2026 09:20 AM,20-Feb-2026 09:00 AM,NA ,NA ,06-Feb-2026 11:00 AM,20-Feb-2026 09:00 AM,13-Apr-2026 10:15 PM,Construction of Cyber Crime Thana Distt Mau UP,Construction of Cyber Crime Thana Distt Mau UP,Please refer Tender documents. ,NA ,,Construction Works,Construction of Cyber Crime Thana Distt Mau ,Tender,90.0,365.0,Mau,275101.0,SE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,09-Feb-2026 11:00 AM ,SE office up scidco,No ,No,AOC,S E,Internal,E E Asst Acct,Jagpal Verma,13-Apr-2026 04:04 PM,finsummary_2058825.pdf (739.50 KB),Technical,Technical Bid opening summary,Jagpal Verma,11-Apr-2026 02:15 PM,technical_2058825.pdf,S E,Internal,E E Asst Acct,Jagpal Verma,11-Apr-2026 02:18 PM,13-Apr-2026 10:00 AM,techsummary_2058825.pdf (427.25 KB),Finance,Financial Bid opening summary,Jagpal Verma,13-Apr-2026 04:01 PM,finance_2058825.pdf,BOQ Comparative Chart,1,5899685,ANU ENTERPRISES,20-Feb-2026 12:04 AM,Rejected-Technical,not ok,11-Apr-2026 02:18 PM,1.0,5898012.0,ARYAN ENTERPRISES,INR,"22,641,000",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1112854_1,613/S E/Ayo/E Tender/Cybar Crime Thana/25-26 05.02.2026,Construction of Cyber Crime Thana Distt Mau UP,13-Apr-2026,"INR 22,641,000",365.0,Jagpal Verma,15-Apr-2026 01:32 PM,LOI.pdf (680.00 KB),Construction of Cyber Crime Thana Distt Mau UP,AOC
,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5898012,ARYAN ENTERPRISES,20-Feb-2026 12:32 AM,Accepted-AOC,ok,15-Apr-2026 01:33 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5900452,ASD CONSTRUCTIONS AND INFRACON PVT LTD,20-Feb-2026 08:46 AM,Rejected-Technical,not ok,11-Apr-2026 02:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5863888,RAMJANM SINGH CONTRACTOR,17-Feb-2026 12:40 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5900144,UNICRAFT INFRATECH,20-Feb-2026 05:35 AM,Rejected-Finance,not ok,13-Apr-2026 04:04 PM,,,,,,,,,,,,,,,,,AOC
