Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,Fee,.pdf,TENDER FEE/EMD,06-Mar-2026 05:14 PM,17-Mar-2026 02:00 PM,06-Mar-2026 04:00 PM,17-Mar-2026 11:00 AM,NA ,NA ,06-Mar-2026 05:00 PM,17-Mar-2026 11:00 AM,24-Mar-2026 12:00 PM,"2,16,000",No,fixed,,UPSCIDCO,GAUTAMBUDHA NAGAR,"Interlocking, Earth Filling And Ground Grassing Work At Sports Stadium Noida Distt. Gautam Buddh Nagar U.P.","Interlocking, Earth Filling And Ground Grassing Work At Sports Stadium Noida Distt. Gautam Buddh Nagar U.P.",Please refer Tender documents. ,NA ,"1,07,95,000",Civil Works,NA ,Tender,240.0,240.0,Sports Stadium Noida Distt. GB Nagar,201306.0,NA ,NA ,NA ,SJ-59 SHASTRI NAGAR GHAZIABAD,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,0305/EE/E-TENDER/Sports Stadium/GB Nagar/2025-26,2026_SCIDC_1122201_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,EXECUTIVE ENGINEER,SJ-59 SHASTRI NAGAR GHAZIABAD,"3,540",UPSCIDCO,GAUTAMBUDHA NAGAR,No,AOC,Technical,TECHNICAL SUMMARY,Mool Chandra,23-Mar-2026 06:14 PM,technical_2089389.pdf,EXECUTIVE ENGINEER,Internal,"AVDHESH KUMAR VERMA,MAHENDRA SINGH,MOOL CHANDRA",Mool Chandra,17-Apr-2026 03:34 PM,finsummary_2089389.pdf (547.47 KB),Finance,BOQ COMPARATIVE CHART,Mool Chandra,17-Apr-2026 03:31 PM,finance_2089389.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,"AVDHESH KUMAR VERMA,MAHENDRA SINGH,MOOL CHANDRA",Mool Chandra,23-Mar-2026 06:17 PM,24-Mar-2026 12:00 PM,techsummary_2089389.pdf (369.15 KB),17-Apr-2026,"INR 10,766,933",240.0,Mool Chandra,17-Apr-2026 03:37 PM,AOC0305.pdf (303.00 KB),AOC,1.0,5979565.0,Balaji Associates,16-Mar-2026 09:07 PM,Accepted-AOC,BEING L1,17-Apr-2026 03:37 PM,1.0,5979565.0,Balaji Associates,INR,"10,766,933",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,2026_SCIDC_1122201_1,0305/EE/E-TENDER/Sports Stadium/GB Nagar/2025-26,"Interlocking, Earth Filling And Ground Grassing Work At Sports Stadium Noida Distt. Gautam Buddh Nagar U.P.",AOC
2,PreQual/Technical,.pdf,TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5979652.0,M/S NAND KISHOR SINGH,16-Mar-2026 09:48 PM,Rejected-Finance,BEING L2,17-Apr-2026 03:34 PM,,,,,,,,,,AOC
3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
