Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1105158_1,1094/SE (E)/LKO-Sultanpur/25-26,"9.00Mtr. Semi Highmast Light work at Block Kurebhar, Dubepur and Jaysinghpur at Sultanpur. (Vidhayak Nidhi work)",1.0,5811869.0,M/S J S R CONSTRUCTIONS,INR,"12,496,698.53",1.0,5811869.0,M/S J S R CONSTRUCTIONS,18-Jan-2026 10:31 AM,Accepted-AOC,Accepted,20-Apr-2026 07:37 PM,29-Jan-2026,"INR 12,496,698.53",180.0,Ram Nayan,20-Apr-2026 07:37 PM,FIN.pdf (3416.00 KB),Attached,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,28-Jan-2026 12:51 PM,28-Jan-2026 12:55 PM,techsummary_2039171.pdf (69.64 KB),Finance,Attached,Ram Nayan,28-Jan-2026 05:34 PM,finance_2039171.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,28-Jan-2026 05:41 PM,finsummary_2039171.pdf (69.64 KB),Technical,Attached,Ram Nayan,28-Jan-2026 12:47 PM,technical_2039171.pdf,AOC,1,DD - Demand Draft,"9.00Mtr. Semi Highmast Light work at Block Kurebhar, Dubepur and Jaysinghpur at Sultanpur. (Vidhayak Nidhi work)","9.00Mtr. Semi Highmast Light work at Block Kurebhar, Dubepur and Jaysinghpur at Sultanpur. (Vidhayak Nidhi work)","9.00Mtr. Semi Highmast Light work at Block Kurebhar, Dubepur and Jaysinghpur at Sultanpur. (Vidhayak Nidhi work) ",NA ,,"Documentary film,Video film",NA ,Tender,90.0,180.0,Sultanpur,228001.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document","3,540",UPSCIDCOLTD,Sultanpur,No,09-Jan-2026 06:00 PM,19-Jan-2026 01:00 PM,09-May-2026 05:15 PM,19-Jan-2026 12:00 PM,NA ,NA ,09-Jan-2026 06:00 PM,19-Jan-2026 12:00 PM,28-Jan-2026 12:55 PM,"2,50,000",No,fixed,,UPSCIDCOLTD,Sultanpur,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,1094/SE (E)/LKO-Sultanpur/25-26,2026_SCIDC_1105158_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Superintending Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",AOC
,,,,,,,,,2.0,5811923.0,"PUSHPA MISHRA CONTRACTOR 290K, KASBA KNI, SULTANPUR 228118",18-Jan-2026 11:56 AM,Rejected-Finance,Quoted Amount Rate in High,28-Jan-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
