Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
04-Apr-2026,"INR 1,419,858",180.0,Sushil Kumar Dohare,04-Apr-2026 09:04 PM,15vavittsheshfic.pdf (2982.00 KB),Bid approved,1,5979597,M/S DILEEP KUMAR CONTRACTOR,16-Mar-2026 09:21 PM,Rejected-AOC,No,04-Apr-2026 09:04 PM,1.0,5974705.0,VIRENDRA KUMAR,INR,"1,419,858",Directorate of Local Bodies UP||Nagar Palika Parishad Jalaun Jalaun,2026_DOLBU_1122342_1,1900/15va vitt ayog/nirman vibhag/2025-26/Date 06.03.2026,Work no. 4,Finance,All bid admitted,Sushil Kumar Dohare,04-Apr-2026 08:21 PM,finance_2089737.pdf,BOQ Comparative Chart,E O Sushil Kumar Dohare,Internal,"J E Praveen kumar, H C Ravindra Saluja, A C Anil kumar, PWC Kamlesh kumar",Sushil Kumar Dohare,02-Apr-2026 01:30 PM,04-Apr-2026 11:00 AM,techsummary_2089737.pdf (1448.51 KB),Technical,All bid admitted,Sushil Kumar Dohare,02-Apr-2026 01:19 PM,technical_2089737.pdf,E O Sushil Kumar Dohare,Internal,"J E Praveen kumar, H C Ravindra Saluja, A C Anil kumar, PWC Kamlesh kumar",Sushil Kumar Dohare,04-Apr-2026 08:40 PM,finsummary_2089737.pdf (2982.04 KB),AOC,"1,926",Executive Officer,NPP JALAUN,No,Executive Officer,NPP JALAUN,1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,Technical,"1,42,000",No,percentage,10.0%,Executive Officer,NPP JALAUN,Directorate of Local Bodies UP||Nagar Palika Parishad Jalaun Jalaun,1900/15va vitt ayog/nirman vibhag/2025-26/Date 06.03.2026,2026_DOLBU_1122342_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Work no. 4,Construction of drain from in front of Vinay Maheshwaris plot to near Tendu culvert in Ward No. 01 Moh Chimandube.,Please refer Tender documents. ,NA ,"14,20,000",Civil Works,NA ,Tender,11.0,180.0,Jalaun,285123.0,NA ,NA ,NA ,NPP JALAUN,No ,No,07-Mar-2026 11:00 AM,19-Mar-2026 11:00 AM,07-Mar-2026 11:00 AM,18-Mar-2026 03:00 PM,NA ,NA ,07-Mar-2026 11:00 AM,18-Mar-2026 03:00 PM,04-Apr-2026 11:00 AM,AOC
,,,,,,,2,5974705,VIRENDRA KUMAR,15-Mar-2026 03:12 PM,Accepted-AOC,Yes,04-Apr-2026 09:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
