S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1,6058009,MAHAVEER CONSTRUCTION,20-Apr-2026 05:26 AM,Accepted-AOC,L1,22-Apr-2026 03:56 PM,Directorate of Local Bodies UP||Nagar Panchayat Kulpahad Mahoba,2026_DOLBU_1136482_3,33/Tender Notice/2026-27 DATED 13.04.2026,"Pipeline Extension Work near Basir the Miller (Hatwara, Ward No. 06)",1.0,6058009.0,MAHAVEER CONSTRUCTION,INR,"809,701",22-Apr-2026,"INR 809,701",60.0,Pravendra Kumar,22-Apr-2026 03:56 PM,3.pdf (597.00 KB),EO,Internal,,Vinod Kumar,21-Apr-2026 04:49 PM,21-Apr-2026 04:50 PM,techsummary_2122286.pdf (154.99 KB),Finance,3 bid admitted,Pravendra Kumar,22-Apr-2026 01:53 PM,,BOQ Comparative Chart,EO,Internal,,Pravendra Kumar,22-Apr-2026 03:28 PM,finsummary_2122286.pdf (155.01 KB),Technical,3 bid find and all admitted,Vinod Kumar,21-Apr-2026 02:58 PM,,AOC,"81,400",No,fixed,,Executive officer,Nagar Panchayat Kulpahar,"Pipeline Extension Work near Basir the Miller (Hatwara, Ward No. 06)","Pipeline Extension Work near Basir the Miller (Hatwara, Ward No. 06)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,60.0,60.0,"Executive officer, Nagar Panchayat Kulpahar",210426.0,NA ,NA ,NA ,"Executive officer, Nagar Panchayat Kulpahar",No ,No,14-Apr-2026 11:00 AM,21-Apr-2026 11:00 AM,14-Apr-2026 11:00 AM,20-Apr-2026 06:00 PM,NA ,NA ,14-Apr-2026 11:00 AM,20-Apr-2026 06:00 PM,21-Apr-2026 04:50 PM,Directorate of Local Bodies UP||Nagar Panchayat Kulpahad Mahoba,33/Tender Notice/2026-27 DATED 13.04.2026,2026_DOLBU_1136482_3,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,RTGS - RTGS Payment,944.0,Executive officer,Nagar Panchayat Kulpahar,No,"Executive officer, Nagar Panchayat Kulpahar","Executive officer, Nagar Panchayat Kulpahar",AOC
2,6056510,M/S Ganga Ram Namdeo Thekedar,19-Apr-2026 08:16 AM,Rejected-AOC,L2,22-Apr-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,AOC
3,6059067,Rensol Enterprises,20-Apr-2026 01:49 PM,Rejected-AOC,L3,22-Apr-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
