Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA","1,42,500",No,fixed,,EE,FIROZABAD,1,BG - Bank Guarantee,23-Mar-2026 10:00 AM,30-Mar-2026 10:00 AM,23-Mar-2026 10:00 AM,28-Mar-2026 05:00 PM,NA ,NA ,23-Mar-2026 10:00 AM,28-Mar-2026 05:00 PM,30-Mar-2026 01:35 PM,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"5,900",EE,FIROZABAD,No,"CONSTRUTION OF 1XANTE ROOM AT SAINIK SCHOOL, MAINPURI (U.P.)","CONSTRUTION OF 1XANTE ROOM AT SAINIK SCHOOL, MAINPURI (U.P.)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,180.0,"SAINIK SCHOOL, MAINPURI",205119.0,NA ,NA ,NA ,AGRA,No ,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,276/SE/E-TENDER/2025-26,2026_UPRNS_1120893_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,30-Mar-2026 03:19 PM,finance_2106161.pdf,BOQ Comparative Chart,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,30-Mar-2026 01:33 PM,30-Mar-2026 01:35 PM,techsummary_2106161.pdf (296.15 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,30-Mar-2026 01:30 PM,technical_2106161.pdf,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,30-Mar-2026 03:21 PM,finsummary_2106161.pdf (296.15 KB),07-Apr-2026,"INR 7,123,575",180.0,NAGENDRA YADAV,13-Apr-2026 03:14 PM,276.pdf (95.00 KB),QUOTED AMOUNT LOWER THEN OTHER BIDER,1.0,6008263.0,AVNI CONSTRUCATION AND SUPPLIERS,25-Mar-2026 09:46 PM,Accepted-AOC,QUOTED AMOUNT LOWER THEN OTHER BIDER,13-Apr-2026 03:14 PM,1.0,6008263.0,AVNI CONSTRUCATION AND SUPPLIERS,INR,"7,123,575",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2026_UPRNS_1120893_2,276/SE/E-TENDER/2025-26,"CONSTRUTION OF 1XANTE ROOM AT SAINIK SCHOOL, MAINPURI (U.P.)",AOC
,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6008351.0,BALAJI CONTRACTOR,25-Mar-2026 10:17 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,30-Mar-2026 03:21 PM,,,,,,,,,,AOC
,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
