Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
16-Apr-2026,"INR 3,559,800",350.0,AZAD KUMAR SONKAR,10-Apr-2026 12:13 PM,order.pdf (569.00 KB),Cleaning work of the Naveen Mandi Sthal Dhanipur Aligarh.,1,6022687,DINESH PAL SINGH,30-Mar-2026 04:43 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,"Rajya Krishi Utpadan Mandi Parishad,UP||SE Zone-4||Dy Director Construction, Aligarh",2026_RKUMP_1128487_1,948-1/20.03.2026,Cleaning work of the Naveen Mandi Sthal Dhanipur Aligarh.,1.0,6022377.0,M/S S.R. INTERPRISES,INR,"3,559,800",Technical,14 Nos technical bid admitted,AZAD KUMAR SONKAR,31-Mar-2026 02:34 PM,technical_2104781.pdf,Atul Gupta,Mixed,Sachiv AO,AZAD KUMAR SONKAR,10-Apr-2026 11:44 AM,finsummary_2104781.pdf (569.17 KB),Finance,10 Nos finance bid Admitted,AZAD KUMAR SONKAR,10-Apr-2026 11:32 AM,finance_2104781.pdf,BOQ Comparative Chart,Atul Gupta,Mixed,"Sachiv, AO",AZAD KUMAR SONKAR,06-Apr-2026 04:47 PM,09-Apr-2026 12:00 PM,techsummary_2104781.pdf (1382.74 KB),AOC,21-Mar-2026 01:00 PM,31-Mar-2026 02:00 PM,21-Mar-2026 01:00 PM,30-Mar-2026 05:00 PM,NA ,NA ,21-Mar-2026 01:00 PM,30-Mar-2026 05:00 PM,09-Apr-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,Sachiv kums Aligarh,Naveen Mandi sthal Aligarh,Cleaning work of the Naveen Mandi Sthal Dhanipur Aligarh.,Cleaning work of the Naveen Mandi Sthal Dhanipur Aligarh,Please refer Tender documents. ,NA ,"41,88,000",Miscellaneous Services,NA ,Tender,90.0,365.0,Aligarh,202001.0,NA ,NA ,NA ,ddc office aligarh,No ,No,"7,400","Chief Finance and Account Officer,Nagar Nigam",Kanpur,No,"4,18,800",Yes,fixed,,Sachiv APMC,Aligarh,"Rajya Krishi Utpadan Mandi Parishad,UP||SE Zone-4||Dy Director Construction, Aligarh",948-1/20.03.2026,2026_RKUMP_1128487_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,AOC
,,,,,,,2,6008091,G.D.SERVICES,25-Mar-2026 07:49 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,6019102,Jitendra pal singh chauhan,30-Mar-2026 04:26 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,6010279,KARTIK ENTERPRISES,27-Mar-2026 02:33 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,5997576,KUMARPAL THEKEDAR,23-Mar-2026 09:37 AM,Rejected-Finance,rates not received,10-Apr-2026 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,6022588,Ms CVS Engineering Works,30-Mar-2026 04:34 PM,Rejected-Technical,As per Check List,06-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,6008373,M/S NAVDURGE ENTERPRISES,28-Mar-2026 09:34 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,6013120,M/S RAJU CONTRACTOR,27-Mar-2026 01:14 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,6021915,M/S R. B. ENTERPRISES,30-Mar-2026 03:26 PM,Rejected-AOC,no,10-Apr-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,6022021,M/S SONY SHARMA GOVERNMENT CONTRACTOR,30-Mar-2026 02:57 PM,Rejected-Technical,As per Check List,06-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
