Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-8, Bulandshahar",04/EE/2025-26,2026_UPIDC_1109495_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Lot 1 Construction of Fall at Km. 0.400 of Dhatra Shekh Minor,Lot 1 Construction of Fall at Km. 0.400 of Dhatra Shekh Minor,NA ,NA ,,Civil Works - Canal,Fall ,Tender,90.0,60.0,SAMBHAL,244302.0,NA ,NA ,NA ,M G C C Div 8 Bulandshahr,No ,No,"19,000",Yes,fixed,,Nil,Nil,856.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Tender Documens,05-Feb-2026 12:00 PM,11-Feb-2026 11:00 AM,05-Feb-2026 12:00 PM,10-Feb-2026 05:00 PM,05-Feb-2026 12:00 PM ,10-Feb-2026 05:00 PM ,05-Feb-2026 12:00 PM,10-Feb-2026 05:00 PM,17-Feb-2026 03:00 PM,EE M G C C Div 8 Bulandshahr,M G C C Div 8 Bulandshahr,1.0,SBI Bank,AOC,ExEnMGCCD8BSR,Internal,ExEnMGCCD8BSRExEnMGCCD13GARH,Ambikesh Mishra,17-Feb-2026 02:43 PM,17-Feb-2026 03:00 PM,techsummary_2057805.pdf (415.80 KB),Finance,2 Bidders,Ambikesh Mishra,18-Feb-2026 02:34 PM,,BOQ Comparative Chart,ExEnMGCCD8BSR,Internal,ExEnMGCCD8BSRExEnMGCCD13Garh,Ambikesh Mishra,18-Feb-2026 05:55 PM,finsummary_2057805.pdf (415.80 KB),Technical,TR is enclosed,Ambikesh Mishra,17-Feb-2026 02:39 PM,technical_2057805.pdf,1,5849149,JAI LAXMI CONTRACTOR,07-Feb-2026 12:24 PM,Rejected-Finance,L2,18-Feb-2026 05:55 PM,1.0,5849293.0,M/S ARYA CONSTRUCTION,INR,"903,563.11","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-8, Bulandshahar",2026_UPIDC_1109495_2,04/EE/2025-26,Lot 1 Construction of Fall at Km. 0.400 of Dhatra Shekh Minor,15-Apr-2026,"INR 903,563.11",60.0,Ambikesh Mishra,15-Apr-2026 02:53 PM,AOC4EE2526L1.pdf (352.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5849293,M/S ARYA CONSTRUCTION,07-Feb-2026 12:50 PM,Accepted-AOC,AOC,15-Apr-2026 02:53 PM,,,,,,,,,,,,,,,,,AOC
