S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,5967649.0,M/s AWADH ASSOCIATES,INR,"35,121,596.75","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2026_UPIDC_1122365_2,06/SE-XI/2025-26,NIT06 LOT02,1,5969317,APS CONSTRUCTION,13-Mar-2026 12:45 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,28-Mar-2026 02:22 PM,09-Apr-2026,"INR 35,121,596.75",90.0,Dhruva Chandra Verma,09-Apr-2026 09:41 AM,aoc.pdf (425.00 KB),DC VERMA,Internal,"DC VERMA SE- XI CIRCLE IW AYODHYA AND BP SINGH, SE 7TH CIRCLE IW AYODHYA",Dhruva Chandra Verma,28-Mar-2026 02:22 PM,30-Mar-2026 10:00 AM,techsummary_2089840.pdf (1289.25 KB),Finance,ALL BID HAS BEEN ADMITTED,Dhruva Chandra Verma,09-Apr-2026 09:29 AM,,BOQ Comparative Chart,DC VERMA,Internal,,Dhruva Chandra Verma,09-Apr-2026 09:35 AM,finsummary_2089840.pdf (288.64 KB),Technical,ALL BID HAS BEEN ADMITTED,Dhruva Chandra Verma,28-Mar-2026 02:14 PM,,AOC,NIT06 LOT02,NIT06 LOT02,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AYODHYA,224001.0,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,07-Mar-2026 11:00 AM ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,No ,No,"7,70,000",No,fixed,,Nil,Nil,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,30-Mar-2026 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"7,245",Nil,Nil,No,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",06/SE-XI/2025-26,2026_UPIDC_1122365_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,AOC
,,,,,,,,,2,5962303,GSB DEVELOPERS PRIVATE LIMITED,12-Mar-2026 07:32 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,28-Mar-2026 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5967649,M/s AWADH ASSOCIATES,13-Mar-2026 10:45 AM,Accepted-AOC,L1,09-Apr-2026 09:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5970205,M/S AWADH ENTERPRISES,13-Mar-2026 12:56 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,28-Mar-2026 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5969107,M/S- JANARDAN CONSTRUCTION,13-Mar-2026 12:06 AM,Rejected-Finance,L4,09-Apr-2026 09:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5969265,M/S R K CONSTRUCTION,13-Mar-2026 12:15 PM,Rejected-Finance,L5,09-Apr-2026 09:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5970268,M/S SHIV CONSTRUCTION,13-Mar-2026 01:49 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,28-Mar-2026 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5967617,M/S V.K. CONSTRUCTION,12-Mar-2026 01:44 PM,Rejected-Finance,L2,09-Apr-2026 09:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5969166,NAGENDRA PRATAP SINGH,12-Mar-2026 11:20 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,28-Mar-2026 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5968901,RAM NARAYAN YADAV,13-Mar-2026 10:04 AM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,28-Mar-2026 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
