Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly",2026_UPIDC_1122095_9,01/SE/FWCB/2025-26,Modification of shank into spur at km 3.15 and 3.25 of Chandanpur-Husainpur tatbund and renovation of daula from km 0.00 to 6.50 near village Dhak Nagla located on left bank of Ganga River in Distt Badaun.,1.0,5956552.0,M/S MANOJ TRADERS,INR,"28,750,777",1,5962225,GSB DEVELOPERS PRIVATE LIMITED,12-Mar-2026 11:25 AM,Rejected-AOC,L2,04-Apr-2026 04:28 PM,28-Mar-2026,"INR 28,750,777",90.0,dileep kumar chaturvedi,04-Apr-2026 04:28 PM,DOSLOT09.pdf (476.00 KB),AOC,S E Flood works circle Bareilly,Internal,S E IWC Moradabad,dileep kumar chaturvedi,16-Mar-2026 11:07 PM,20-Mar-2026 10:00 AM,techsummary_2089024.pdf (344.01 KB),Finance,4 Bids received,dileep kumar chaturvedi,24-Mar-2026 09:10 PM,finance_2089024.pdf,BOQ Comparative Chart,S E Flood works circle Bareilly,Internal,S E IWC MORADABAD,dileep kumar chaturvedi,25-Mar-2026 03:09 PM,finsummary_2089024.pdf (193.68 KB),Technical,4 Bids received,dileep kumar chaturvedi,16-Mar-2026 11:02 PM,technical_2089024.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,"Registration, IDT-1, IDT-2, IDT-3 etc. required documents as per NIT",S E FLOOD WORKS CIRCLE BAREILLY,S E FLOOD WORKS CIRCLE CANAL COLONY 117 CIVIL LINES BAREILLY,"4,808",Nil,Nil,No,1.0,SBI Bank,06-Mar-2026 10:00 AM,12-Mar-2026 03:00 PM,06-Mar-2026 10:00 AM,12-Mar-2026 02:00 PM,NA ,NA ,06-Mar-2026 10:00 AM,12-Mar-2026 02:00 PM,20-Mar-2026 10:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly",01/SE/FWCB/2025-26,2026_UPIDC_1122095_9,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Modification of shank into spur at km 3.15 and 3.25 of Chandanpur-Husainpur tatbund and renovation of daula from km 0.00 to 6.50 near village Dhak Nagla located on left bank of Ganga River in Distt Badaun.,Modification of shank into spur at km 3.15 and 3.25 of Chandanpur-Husainpur tatbund and renovation of daula from km 0.00 to 6.50 near village Dhak Nagla located on left bank of Ganga River in Distt Badaun.,Please refer Tender documents. ,NA ,"4,45,40,000",Civil Works,NA ,Tender,90.0,90.0,BADAUN,243601.0,S E FLOOD WORKS CIRCLE CANAL COLONY 117 CIVIL LINE ,S E FLOOD WORKS CIRCLE CANAL COLONY 117 CIVIL LINES BAREILLY ,06-Mar-2026 01:00 PM ,S E FLOOD WORKS CIRCLE BAREILLY,No ,No,"8,91,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5959257,LAIQUE AHMAD,12-Mar-2026 12:47 PM,Rejected-Finance,L4,25-Mar-2026 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5956552,M/S MANOJ TRADERS,11-Mar-2026 09:01 PM,Accepted-AOC,L1,04-Apr-2026 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5966844,VIJAY ASSOCIATES,12-Mar-2026 10:28 AM,Rejected-Finance,L3,25-Mar-2026 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
