Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
30-Mar-2026,"INR 16,978,585.5",60.0,Kiran Pal Singh Verma,22-Apr-2026 05:59 PM,aoc_27.pdf (480.00 KB),as per uploaded,Technical,as uploaded,Kiran Pal Singh Verma,23-Mar-2026 04:26 PM,technical_2090001.pdf,SE GANDAK FLOOD CIRCLE GORAKHPUR,Internal,SE Drainage Circle Balia,Kiran Pal Singh Verma,23-Mar-2026 04:30 PM,25-Mar-2026 05:00 PM,techsummary_2090001.pdf (660.76 KB),SE GANDAK FLOOD CIRCLE GORAKHPUR,Internal,SE DRAINAGE CIRCLE BALLIA,Kiran Pal Singh Verma,28-Mar-2026 07:43 PM,finsummary_2090001.pdf (660.76 KB),Finance,as uploaded,Kiran Pal Singh Verma,26-Mar-2026 06:37 PM,finance_2090001.pdf,BOQ Comparative Chart,1.0,5970183.0,M/S NAV DURGA CONSTRUCTION COMPANY,INR,"16,978,585.5",1,5969801,GOMATINETRA CONSTRUCTIONS,13-Mar-2026 12:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Mar-2026 04:26 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Gorakhpur",2026_UPIDC_1122384_27,04/SE/2025-26,ANTI EROSION WORK BETWEEN KM. 1.490 TO KM. 1.784 OF BHUSWAL PIDRA BUND NEAR VILL. BHUSWAL ON L/B OF GURRA RIVER IN DIST. DEORIA,AOC,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,25-Mar-2026 05:00 PM,"3,61,000",Yes,fixed,,Nil,Nil,SE GANDAK FLOOD CIRCLE GORAKHPUR,SE GANDAK FLOOD CIRCLE GORAKHPUR,1.0,SBI Bank,"3,161",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Gorakhpur",04/SE/2025-26,2026_UPIDC_1122384_27,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,ANTI EROSION WORK BETWEEN KM. 1.490 TO KM. 1.784 OF BHUSWAL PIDRA BUND NEAR VILL. BHUSWAL ON L/B OF GURRA RIVER IN DIST. DEORIA,ANTI EROSION WORK BETWEEN KM. 1.490 TO KM. 1.784 OF BHUSWAL PIDRA BUND NEAR VILL. BHUSWAL ON L/B OF GURRA RIVER IN DIST. DEORIA,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,DEORIA,274001.0,GORAKHPUR ,SE GANDAK FLOOD CIRCLE GORAKHPUR ,07-Mar-2026 11:00 AM ,SE GANDAK FLOOD CIRCLE GORAKHPUR,No ,No,1.0,Modified Work completion date,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5969295,M/S ASHWANI KUMAR SINGH,13-Mar-2026 12:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Mar-2026 04:26 PM,,,,,AOC,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5970319,M/s AWADH ASSOCIATES,13-Mar-2026 01:40 PM,Rejected-Finance,AS UPLOADED,28-Mar-2026 07:43 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5970183,M/S NAV DURGA CONSTRUCTION COMPANY,13-Mar-2026 01:07 PM,Accepted-AOC,as per uploaded,22-Apr-2026 05:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5970456,NAGENDRA PRATAP SINGH,13-Mar-2026 02:22 PM,Rejected-Finance,AS UPLOADED,28-Mar-2026 07:43 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
