Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical bid open,Executive Enginer,"Office of the Executive Engineer, R.E.D. Bahraich",Gram Panchayat Satpediya me Nahar Puliya se Rajapurwa tak inerlocking nirman karya-Payagpur_13,Gram Panchayat Satpediya me Nahar Puliya se Rajapurwa tak inerlocking nirman karya-Payagpur_13,Please refer Tender documents. ,NA ,"8,05,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,25-Mar-2026 12:00 PM,08-Apr-2026 12:30 PM,25-Mar-2026 12:00 PM,08-Apr-2026 12:00 PM,NA ,NA ,25-Mar-2026 12:00 PM,08-Apr-2026 12:00 PM,13-Apr-2026 12:00 PM,"16,100",No,fixed,,Nil,Nil,1.0,Corrigendum for date change,Date,,788.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1271/RED/Etender(35)/2025-26, Dt. 16.03.2026",2026_REDUP_1129895_13,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1129895_13,"1271/RED/Etender(35)/2025-26, Dt. 16.03.2026",Gram Panchayat Satpediya me Nahar Puliya se Rajapurwa tak inerlocking nirman karya-Payagpur_13,1,6026912,M/s Vikram Jaiswal,07-Apr-2026 11:26 PM,Accepted-AOC,AOC,18-Apr-2026 04:35 PM,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,13-Apr-2026 02:04 PM,finsummary_2107777.pdf (44.07 KB),Finance,Financial bid open,Sujit Kumar Sinha,13-Apr-2026 01:18 PM,finance_2107777.pdf,BOQ Comparative Chart,1.0,6026912.0,M/s Vikram Jaiswal,INR,"949,300.09",Technical,Technical bid open,Sujit Kumar Sinha,08-Apr-2026 01:34 PM,technical_2107777.pdf,18-Apr-2026,"INR 949,300.09",180.0,Sujit Kumar Sinha,18-Apr-2026 04:35 PM,Vikram.pdf (26.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,10-Apr-2026 05:53 PM,13-Apr-2026 12:00 PM,techsummary_2107777.pdf (150.11 KB),AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6028660,Smt. Vandana Singh,08-Apr-2026 12:04 AM,Rejected-Finance,High,13-Apr-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
