Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,final,RAJNEESH KUMAR,10-Apr-2026 01:39 PM,technical_2094950.pdf,29-Apr-2026,"INR 1,180,971",90.0,Chaman Srivastava,29-Apr-2026 06:14 PM,medicalgate2.pdf (483.00 KB),FINAL,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,10-Apr-2026 01:41 PM,17-Apr-2026 12:30 PM,techsummary_2094950.pdf (762.55 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1123778_17,3430/RED/Tender/2025-26 Dt. 03.02.2026,Medical College Gate No. 02 ke pass se Shri karuna Isthali mandir ko jane wali apex sadak ka nirman karya.,1,5971089,LUCKY ENTERPRISES,17-Mar-2026 08:24 AM,Rejected-Finance,N,29-Apr-2026 06:12 PM,1.0,5971051.0,SANJAY AGARWAL,INR,"1,180,971",Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,29-Apr-2026 06:12 PM,finsummary_2094950.pdf (482.92 KB),Finance,FINAL,Chaman Srivastava,29-Apr-2026 06:11 PM,finance_2094950.pdf,BOQ Comparative Chart,AOC,"60,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,12-Mar-2026 12:00 PM,25-Mar-2026 03:30 PM,12-Mar-2026 12:00 PM,25-Mar-2026 12:00 PM,NA ,NA ,12-Mar-2026 12:00 PM,25-Mar-2026 12:00 PM,17-Apr-2026 12:30 PM,EE RED Jhansi,EE RED Jhansi,1,Fee/PreQual/Technical,.pdf,SBD,Medical College Gate No. 02 ke pass se Shri karuna Isthali mandir ko jane wali apex sadak ka nirman karya.,Medical College Gate No. 02 ke pass se Shri karuna Isthali mandir ko jane wali apex sadak ka nirman karya.,Please refer Tender documents. ,NA ,"11,88,000",Civil Works,NA ,Tender,90.0,90.0,Medical College Gate No. 02 ke pass se Shri karuna,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3430/RED/Tender/2025-26 Dt. 03.02.2026,2026_REDUP_1123778_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,5971051,SANJAY AGARWAL,17-Mar-2026 09:39 AM,Accepted-AOC,Y,29-Apr-2026 06:14 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
