Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow",06/SE-VII/2025-26,2026_UPIDC_1122306_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"14,56,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,1.0,SBI Bank,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 10:00 AM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 10:00 AM,23-Mar-2026 02:00 PM,Superintending Engineer,"Office of Superintending Engineer, VII Circle Irrigation Works, Sarojni Naidu Marg, Lucknow.",AS PER TENDER NOTICE-06 LOT-09,AS PER TENDER NOTICE-06 LOT-09,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,270.0,Barabanki,225001.0,Lucknow ,"Office of Superintending Engineer, VII Circle Irrigation Works, Sarojni Naidu Marg, Lucknow. ",07-Mar-2026 01:00 PM ,Lucknow,No ,No,AOC,Superintending Engineer,Internal,,bhanu pratap singh,28-Mar-2026 06:33 PM,finsummary_2089767.pdf (147.98 KB),Technical,Summary Uploaded,bhanu pratap singh,19-Mar-2026 05:58 PM,technical_2089767.pdf,Superintending Engineer,Internal,,bhanu pratap singh,19-Mar-2026 06:01 PM,23-Mar-2026 02:00 PM,techsummary_2089767.pdf (224.14 KB),Finance,Summary Uploaded,bhanu pratap singh,28-Mar-2026 06:30 PM,finance_2089767.pdf,BOQ Comparative Chart,1,5968783,ARUN CONSTRUCTION,12-Mar-2026 09:42 PM,Rejected-Finance,L2,28-Mar-2026 06:33 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow",2026_UPIDC_1122306_9,06/SE-VII/2025-26,AS PER TENDER NOTICE-06 LOT-09,1.0,5956731.0,M/S SINGH CONSTRUCTION,INR,"60,326,902.48",30-Mar-2026,"INR 60,326,902.48",270.0,bhanu pratap singh,15-Apr-2026 04:06 PM,AOC06LOT09.pdf (275.00 KB),AOC,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5956731,M/S SINGH CONSTRUCTION,13-Mar-2026 09:47 AM,Accepted-AOC,L1,15-Apr-2026 04:06 PM,,,,,,,,,,,,,,,,,AOC
