Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,2026_DOLBU_1113903_9,351/nppdataganj/2025-26 date 09.02.2026,CIVIL_WORK,1.0,5966990.0,Maa shakti constructions,INR,"3,100,122.017",1,5966990,Maa shakti constructions,12-Mar-2026 10:37 AM,Accepted-AOC,OK,10-Apr-2026 11:10 AM,09-Apr-2026,"INR 3,100,122.017",90.0,Vikas Anand,10-Apr-2026 11:08 AM,W3903_9.pdf (557.00 KB),tridandi dev sewa ashram mandir me 01 hall ka nirman karye,vikas anand,Internal,THREE,Vikas Anand,09-Apr-2026 05:45 PM,finsummary_2064866.pdf (189.05 KB),Technical,as per document,Vikas Anand,04-Apr-2026 04:13 PM,technical_2064866.pdf,vikas anand,Internal,Three,Vikas Anand,04-Apr-2026 04:48 PM,04-Apr-2026 05:00 PM,techsummary_2064866.pdf (189.05 KB),Finance,as per documet,Vikas Anand,08-Apr-2026 06:33 PM,finance_2064866.pdf,BOQ Comparative Chart,AOC,Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,351/nppdataganj/2025-26 date 09.02.2026,2026_DOLBU_1113903_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,BG - Bank Guarantee,"3,168",EXECUTIVE OFFICER,npp dataganj,Yes,10-Feb-2026 10:00 AM,25-Mar-2026 12:00 PM,10-Feb-2026 10:00 AM,24-Mar-2026 05:00 PM,NA ,NA ,10-Feb-2026 10:00 AM,24-Mar-2026 05:00 PM,04-Apr-2026 05:00 PM,1.0,date corrigendum3,Date,,EXECUTIVE OFFICER,NPP DATAGANJ,1.0,Fee/PreQual/Technical,.pdf,nitdocument,CIVIL_WORK,NPP DATAGANJ ME AVASTHIT TRIDANDI DEV SEWA ASHRAM MANDIR ME HALL KA NIRMAN KARYE,Please refer Tender documents. ,NA ,"31,02,542",Civil Works,NA ,Tender,90.0,90.0,WARD NO 21,243635.0,NA ,NA ,NA ,NPP DATAGANJ,No ,No,"3,10,254",Yes,fixed,,EXECUTIVE OFFICER,Npp dataganj,AOC
,,,,,,,,,2,5975394,MS KRISHNA DEVI THEKEDAR,15-Mar-2026 06:36 PM,Rejected-Finance,ABOVE,09-Apr-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5975341,M/S MAHESH CHAND GUPTA THEKEDAR,15-Mar-2026 06:17 PM,Rejected-Finance,ABOVE,09-Apr-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
