Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
29-Apr-2026,"INR 442,719.837",30.0,Pooja Singh,29-Apr-2026 01:58 PM,abdultali.pdf (233.00 KB),awarded,1.0,6069614.0,M/S JAN MOHAMMAD,INR,"442,719.837",Directorate of Local Bodies UP||Nagar Panchayat Kithore Meerut,2026_DOLBU_1133925_1,120/NPK/15CFC-AVN-SFC,construction of cc interlocking road and drain in ward no 03 mohalla baniyowala from shop of abdul tali to abid dulha member saray wali gali in nagar panchayat kithaur,1.0,6069614.0,M/S JAN MOHAMMAD,26-Apr-2026 09:48 AM,Accepted-AOC,lowest,29-Apr-2026 01:58 PM,Finance,accepted,Pooja Singh,28-Apr-2026 01:47 PM,finance_2116619.pdf,BOQ Comparative Chart,pooja singh,Internal,two,Pooja Singh,28-Apr-2026 12:56 PM,28-Apr-2026 01:00 PM,techsummary_2116619.pdf (50.29 KB),Technical,accepted,Pooja Singh,28-Apr-2026 11:53 AM,technical_2116619.pdf,Pooja Singh,Internal,two,Pooja Singh,28-Apr-2026 03:55 PM,finsummary_2116619.pdf (238.62 KB),AOC,Directorate of Local Bodies UP||Nagar Panchayat Kithore Meerut,120/NPK/15CFC-AVN-SFC,2026_DOLBU_1133925_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,07-Apr-2026 09:00 AM,27-Apr-2026 04:00 PM,07-Apr-2026 09:00 AM,27-Apr-2026 03:00 PM,NA ,NA ,07-Apr-2026 09:00 AM,27-Apr-2026 03:00 PM,28-Apr-2026 01:00 PM,"44,316",Yes,fixed,,EXECUTIVE OFFICER,NAGAR PANCHAYAT KITHAUR,1,DD - Demand Draft,construction of cc interlocking road and drain in ward no 03 mohalla baniyowala from shop of abdul tali to abid dulha member saray wali gali in nagar panchayat kithaur,construction of cc interlocking road and drain in ward no 03 mohalla baniyowala from shop of abdul tali to abid dulha member saray wali gali in nagar panchayat kithaur,Please refer Tender documents. ,NA ,"4,43,163",Civil Works - Roads,NA ,Tender,30.0,30.0,NP KITHAUR,250104.0,NA ,NA ,NA ,NP KITHAUR,No ,No,523.0,EXECUTIVE OFFICER,NAGAR PANCHAYAT KITHAUR,Yes,POOJA SINGH,NP KITHAUR,AOC
,,,,,,,,,,,,,,,,2.0,6068677.0,M/S MAYANK JAIN,25-Apr-2026 02:55 PM,Rejected-AOC,highest,29-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,6068169.0,SUNRISE CONSTRUCTION,25-Apr-2026 12:05 PM,Rejected-AOC,lowest 2,29-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,AOC
