Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1128727_1,630/E E/Ayo/E Tender/MLC FUND/25-26 20.03.2026,Under the MLC Fund Scheme construction work of Sardar Vallabhbhai Patel Memorial Gate near Kosari Girdhar on Amethi Vishesharaman road in Block Amethi,1.0,6011048.0,VINAY PRAKASH TRIPATHI,INR,"1,089,000",1,6008832,AKASH CONSTRUCTION,26-Mar-2026 08:33 AM,Rejected-Finance,not ok,24-Apr-2026 03:41 PM,24-Apr-2026,"INR 1,089,000",90.0,Jagpal Verma,24-Apr-2026 05:00 PM,LOI.pdf (371.00 KB),Under the MLC Fund Scheme construction work of Sardar Vallabhbhai Patel Memorial Gate near Kosari Girdhar on Amethi Vishesharaman road in Block Amethi,EE,Internal,E E Asst Acct,Jagpal Verma,16-Apr-2026 10:30 AM,16-Apr-2026 12:00 PM,techsummary_2105183.pdf (272.42 KB),Finance,Financial Bid opening summary,Jagpal Verma,24-Apr-2026 03:39 PM,finance_2105183.pdf,BOQ Comparative Chart,EE,Internal,E E Asst Acct,Jagpal Verma,24-Apr-2026 03:41 PM,finsummary_2105183.pdf (373.38 KB),Technical,Technical Bid opening summary,Jagpal Verma,16-Apr-2026 10:28 AM,technical_2105183.pdf,AOC,1,FDR - Fixed Deposit,"1,652",online,Ayodhya,No,"22,000",No,fixed,,E E U P Scidco,Ayodhya,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,Under the MLC Fund Scheme construction work of Sardar Vallabhbhai Patel Memorial Gate near Kosari Girdhar on Amethi Vishesharaman road in Block Amethi,Under the MLC Fund Scheme construction work of Sardar Vallabhbhai Patel Memorial Gate near Kosari Girdhar on Amethi Vishesharaman road in Block Amethi,Please refer Tender documents. ,NA ,,Construction Works,Under MLC Fund Scheme Construction of Gate  ,Tender,90.0,90.0,Amethi,227405.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,23-Mar-2026 11:00 AM ,EE office up scidco,No ,No,1,Fee/PreQual/Technical,.pdf,Under the MLC Fund Scheme construction work of Sardar Vallabhbhai Patel Memorial Gate near Kosari,21-Mar-2026 10:30 AM,27-Mar-2026 11:00 AM,21-Mar-2026 10:30 AM,27-Mar-2026 09:00 AM,NA ,NA ,21-Mar-2026 10:30 AM,27-Mar-2026 09:00 AM,16-Apr-2026 12:00 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,630/E E/Ayo/E Tender/MLC FUND/25-26 20.03.2026,2026_SCIDC_1128727_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2,6011048,VINAY PRAKASH TRIPATHI,26-Mar-2026 07:33 PM,Accepted-AOC,ok,24-Apr-2026 05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,AOC
