Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,1894/NPG/2025-26,2026_DOLBU_1123116_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,09-Mar-2026 06:50 PM,30-Mar-2026 02:00 PM,09-Mar-2026 06:50 PM,30-Mar-2026 12:00 PM,NA ,NA ,09-Mar-2026 06:50 PM,30-Mar-2026 12:00 PM,01-Apr-2026 09:00 AM,"N.P. Gabhana, Aligarh","N.P. Gabhana, Aligarh",1.0,RTGS - RTGS Payment,"1,540",NP,GABHANA,No,1.0,NIT,Other,,Supply and Installation of 08 m G.I. octagonal pole with LED street light at ward no. 06 Mohrena from Barauli main road to the house of Mukaddam in Nagar Panchayat Gabhana (Aligarh).,Supply and Installation of 08 m G.I. octagonal pole with LED street light at ward no. 06 Mohrena from Barauli main road to the house of Mukaddam in Nagar Panchayat Gabhana (Aligarh).,Please refer Tender documents. ,NA ,,Street Lighting,NA ,Tender,30.0,30.0,Supply and Installation of 08 m G.I. octagonal pol,202136.0,NA ,NA ,NA ,"N.P. Gabhana, Aligarh",No ,No,"1,30,547",No,fixed,,NP,GABHANA,AOC,Finance,FinanceBid Admitted,Renu Yadav,01-Apr-2026 12:59 PM,finance_2091975.pdf,BOQ Comparative Chart,eo,Internal,"je,lipik",naveen kumar,31-Mar-2026 01:58 PM,01-Apr-2026 09:00 AM,techsummary_2091975.pdf (345.22 KB),Technical,Technical Bid Admitted,naveen kumar,31-Mar-2026 10:20 AM,technical_2091975.pdf,eo,Internal,"JE, LIPIK",Renu Yadav,01-Apr-2026 02:45 PM,finsummary_2091975.pdf (119.17 KB),02-Apr-2026,"INR 1,305,217.9",60.0,Renu Yadav,01-Apr-2026 04:27 PM,Doc1.pdf (181.00 KB),1.0,6017573.0,TULSHI HARDWARE TRENDING COMPANY,INR,"1,305,217.9",Directorate of Local Bodies UP||Nagar Panchayat Gabhana Aligarh,2026_DOLBU_1123116_1,1894/NPG/2025-26,Supply and Installation of 08 m G.I. octagonal pole with LED street light at ward no. 06 Mohrena from Barauli main road to the house of Mukaddam in Nagar Panchayat Gabhana (Aligarh).,1,6018325,NJ ENTERPRISES,29-Mar-2026 01:55 PM,Rejected-AOC,accepted,01-Apr-2026 04:27 PM,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6011210,RM ENTERPRISES,27-Mar-2026 05:51 PM,Rejected-AOC,accepted,01-Apr-2026 04:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6017573,TULSHI HARDWARE TRENDING COMPANY,29-Mar-2026 09:24 AM,Accepted-AOC,accepted,01-Apr-2026 04:27 PM,AOC
