S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6033437.0,SHIV KUMAR,INR,"1,412,632",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1132518_1,1720_01/Mpy/KHERI/2025-26,"In reference to acceptance letter No. 2694 dated 06.03.2026, the installation work of 9 Nos. 6-way semi high mast lights at various locations in Development Block Lakhimpur.",1,6039708,M/s Prakhar Enterprises,10-Apr-2026 10:32 AM,Rejected-Finance,2nd Lowest Bidder,21-Apr-2026 05:17 PM,21-Apr-2026,"INR 1,412,632",60.0,Rajendra Nath Chaturvedi,30-Apr-2026 09:36 PM,AOC_1720_01.pdf (652.00 KB),Hemant Saxena,Internal,,Hemant Saxena,16-Apr-2026 02:52 PM,20-Apr-2026 12:00 PM,techsummary_2113762.pdf (687.58 KB),Finance,Recommended for Financial Evaluation,Rajendra Nath Chaturvedi,20-Apr-2026 04:55 PM,finance_2113762.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,21-Apr-2026 05:17 PM,finsummary_2113762.pdf (1032.48 KB),Technical,Recommended for Technical Evaluation,Rajendra Nath Chaturvedi,13-Apr-2026 12:55 PM,technical_2113762.pdf,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1720_01/Mpy/KHERI/2025-26,2026_REDUP_1132518_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,856.0,Nil,Nil,No,1.0,SBI Bank,06-Apr-2026 12:00 PM,13-Apr-2026 12:30 PM,06-Apr-2026 12:00 PM,13-Apr-2026 12:00 PM,NA ,NA ,06-Apr-2026 12:00 PM,13-Apr-2026 12:00 PM,20-Apr-2026 12:00 PM,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,"In reference to acceptance letter No. 2694 dated 06.03.2026, the installation work of 9 Nos. 6-way semi high mast lights at various locations in Development Block Lakhimpur.","In reference to acceptance letter No. 2694 dated 06.03.2026, the installation work of 9 Nos. 6-way semi high mast lights at various locations in Development Block Lakhimpur.",Please Refer Tender Document ,NA ,"14,20,100",Electrical Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,1,Fee/PreQual/Technical,.pdf,Technical PDF,"29,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6033437,SHIV KUMAR,06-Apr-2026 06:46 PM,Accepted-AOC,Accepted,30-Apr-2026 09:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,AOC
