Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Fee, Security money and Technical Bid","1,08,200",No,percentage,2.0%,Executive Officer,Nagar Panchayat Mahroni,"6,393",Executive Officer,Nagar Panchayat Mahroni,No,17-Apr-2026 12:00 PM,23-Apr-2026 02:00 PM,17-Apr-2026 12:00 PM,23-Apr-2026 12:00 PM,NA ,NA ,17-Apr-2026 12:00 PM,23-Apr-2026 12:00 PM,24-Apr-2026 04:45 PM,1.0,FDR - Fixed Deposit,Executive Officer,Nagar Panchayat Mahroni,Directorate of Local Bodies UP||Nagar Panchayat Mahrauni Lalitpur,941/NPM/2026-27,2026_DOLBU_1137861_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Offline,No,No,No,"Supply of Bhusha, Harachara and Chuni Chaukar","Supply of Bhusha, Harachara and Chuni Chaukar",Please refer Tender documents. ,NA ,"54,10,000",Crop Products,NA ,Rate Contract,30.0,335.0,Nagar Panchayat Mahroni,284405.0,NA ,NA ,NA ,Nagar Panchayat Mahroni,No ,No,AOC,Executive Officer,Internal,Junior Engineer,Sakshi Sahu,24-Apr-2026 04:41 PM,24-Apr-2026 04:45 PM,techsummary_2124598.pdf (1883.04 KB),Finance,All qualification are completed by bidders.,Sakshi Sahu,24-Apr-2026 04:53 PM,,BOQ Comparative Chart,Executive Officer,Internal,Junior Engineer,Sakshi Sahu,24-Apr-2026 05:00 PM,finsummary_2124598.pdf (1049.74 KB),Technical,All qualification are completed by bidders.,Sakshi Sahu,24-Apr-2026 04:20 PM,,Directorate of Local Bodies UP||Nagar Panchayat Mahrauni Lalitpur,2026_DOLBU_1137861_1,941/NPM/2026-27,"Supply of Bhusha, Harachara and Chuni Chaukar",1.0,6062715.0,M/S BHARAT KUMAR TIWARI THEKEDAR,INR,"5,399,075",1,6062715,M/S BHARAT KUMAR TIWARI THEKEDAR,22-Apr-2026 02:28 PM,Accepted-AOC,Tender is accepted due to the lowest rate quoted.,25-Apr-2026 02:29 PM,25-Apr-2026,"INR 5,399,075",335.0,Sakshi Sahu,25-Apr-2026 02:29 PM,WOBHUSA.pdf (295.00 KB),AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6063270,M/S K G N CONSTRUCTION,22-Apr-2026 04:54 PM,Rejected-AOC,Tender is rejected for being more than the lowest.,25-Apr-2026 02:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6062563,ROHIT KUMAR SEN CONTRACTOR,22-Apr-2026 11:51 AM,Rejected-AOC,Tender is rejected for being more than the lowest.,25-Apr-2026 02:29 PM,,,,,,,AOC
