objectid,max,mean,count,sum
09-163-00846,0.0207949966430664,0.0109617678760879,593,6.500328350520135
09-148-00777,0.042453970336914,0.0261192349370912,1075,28.07817755737305
09-162-00841,0.0674357543945312,0.0230544531416184,1010,23.284997673034667
09-156-00818,0.0175451553344726,0.0155701246170449,565,8.797120408630372
09-134-00713,0.0108590415954589,0.0002743452552219,773,0.2120688822865486
09-177-00906,0.0204843322753906,0.0159094466902992,506,8.050180025291445
09-155-00812,0.0401455444335937,0.0282513219027853,869,24.55039873352051
09-164-00848,0.0401455444335937,0.0270902952209472,750,20.31772141571045
09-149-00780,0.0148753189086914,0.0089005293650656,322,2.865970455551148
09-172-00877,0.0183374557495117,0.0126728530378124,1162,14.72585522993803
09-149-00779,0.0148753189086914,0.0088037924595099,865,7.615280477476121
09-133-00709,0.0048114936828613,0.0018037185748252,481,0.8675886344909669
09-142-00746,0.0023093492507934,0.0001899830279446,547,0.1039207162857055
09-191-00964,0.0198363530158996,0.0053212732962797,399,2.1231880452156067
09-188-00948,0.0009144670009613,0.0009014110511708,321,0.2893529474258423
09-174-00887,0.0122867972373962,0.0092908475771645,453,4.208753952455521
09-196-00994,0.0447601409912109,0.0217967040821085,1103,24.041764602565767
09-196-00993,0.0087519569396972,0.0078553676897215,583,4.579679363107681
09-754-00722,0.0054810985565185,0.0016348540675518,586,0.9580244835853576
09-134-00716,0.0012459089279174,0.0005033206410446,746,0.3754771982192993
09-169-00869,0.0101899055957794,0.0053813373727481,722,3.885325583124161
09-188-00951,0.0023898735046386,0.0001821773936762,338,0.0615759590625763
09-145-00761,0.0298521087646484,0.0152184110462911,968,14.73142189280987
09-160-00833,0.0674357543945312,0.0426294801472102,787,33.549400875854495
09-199-01003,0.0283314763069152,0.0189961649074942,933,17.72342185869217
09-183-00929,0.0127839836120605,0.0101871766540852,940,9.575946054840088
09-141-00742,0.0039365396022796,0.0008483432887351,438,0.3715743604660033
09-158-00827,0.0175451553344726,0.0091919568003918,387,3.5572872817516323
09-149-00783,0.0129811630249023,0.0100583919664967,989,9.947749654865266
09-190-00959,0.0027341947555541,0.0019359640356206,844,1.6339536460638049
09-163-00844,0.041109732055664,0.0080123118206135,412,3.3010724700927745
09-134-00715,0.0008140989303588,7.325847886415771e-05,771,0.0564822872042656
09-137-00729,0.0012459089279174,0.0010653553768824,621,0.6615856890439988
09-153-00802,0.0069510078430175,0.00549664529931,1037,5.7000211753845225
09-142-00749,0.0074302177429199,0.0010284110696641,491,0.5049498352050782
