Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Madhogarh Jalaun,2026_DOLBU_1105296_1,06/232/NPM/Sever and Jal Nikasi Yojna /2025-26 Date 09.01.2026,6-NP MADHOGARH KE WARD NO 01 GANDHI NAGAR ME ANAND DUBEY KE MAKAN SE RAMKUMAR RATHAUR KE MAKAN TAK RCC NALE KA NIRMAN KARYA,1.0,5833419.0,M/S ADITYA KUMAR PACHAURI,INR,"1,149,011",1,5820605,Aisle Consultant Private Limited,23-Jan-2026 03:15 PM,Rejected-Technical,All Doc not Attached,03-Feb-2026 03:10 PM,03-Feb-2026,"INR 1,152,469",60.0,Monika Umrao,03-Feb-2026 07:33 PM,6AOC.pdf (302.00 KB),AOC,"Eo MONIKA UMRAO JE ANIL KUMAR, LIPIK AJAY DUBEY",Internal,"Eo MONIKA UMRAO JE ANIL KUMAR, LIPIK AJAY DUBEY",Monika Umrao,03-Feb-2026 06:44 PM,finsummary_2039425.pdf (476.53 KB),Technical,Tec Bid Opening Summary,Monika Umrao,03-Feb-2026 01:19 PM,technical_2039425.pdf,"Eo MONIKA UMRAO JE ANIL KUMAR, LIPIK AJAY DUBEY",Internal,"Eo MONIKA UMRAO JE ANIL KUMAR, LIPIK AJAY DUBEY",Monika Umrao,03-Feb-2026 03:10 PM,03-Feb-2026 03:15 PM,techsummary_2039425.pdf (476.53 KB),Finance,Fin Bid Opening Summary,Monika Umrao,03-Feb-2026 06:04 PM,finance_2039425.pdf,BOQ Comparative Chart,AOC,EO,NP MADHOGARHA,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,NIVIDA SHULK CORRECTION,Fee,,"1,609",EO,NP MADHOGARHA,Yes,1.0,DD - Demand Draft,12-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,12-Jan-2026 12:05 PM,31-Jan-2026 03:00 PM,NA ,NA ,12-Jan-2026 12:10 PM,31-Jan-2026 03:00 PM,03-Feb-2026 03:15 PM,Directorate of Local Bodies UP||Nagar Panchayat Madhogarh Jalaun,06/232/NPM/Sever and Jal Nikasi Yojna /2025-26 Date 09.01.2026,2026_DOLBU_1105296_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,15,247",Yes,fixed,,EO,NP MADHOGARHA,6-NP MADHOGARH KE WARD NO 01 GANDHI NAGAR ME ANAND DUBEY KE MAKAN SE RAMKUMAR RATHAUR KE MAKAN TAK RCC NALE KA NIRMAN KARYA,6-NP MADHOGARH KE WARD NO 01 GANDHI NAGAR ME ANAND DUBEY KE MAKAN SE RAMKUMAR RATHAUR KE MAKAN TAK RCC NALE KA NIRMAN KARYA,Please refer Tender documents. ,NA ,"11,52,467",Civil Works - Others,NA ,Tender,21.0,60.0,NP MADHOGARHA,285126.0,NA ,NA ,NA ,NP MADHOGARHA,No ,No,AOC
,,,,,,,,,2,5833419,M/S ADITYA KUMAR PACHAURI,30-Jan-2026 06:46 PM,Accepted-AOC,L1,03-Feb-2026 07:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5833323,SATEESH KUMAR,30-Jan-2026 05:54 PM,Rejected-Finance,L2,03-Feb-2026 06:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5833233,VIJAY SINGH CONTRACTOR AND SUPPLIERS,30-Jan-2026 04:53 PM,Rejected-Finance,L3,03-Feb-2026 06:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
