S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,5836396.0,M/S ANAND TRADERS,INR,"10,204,674.11","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",2026_UPIDC_1108679_2,04/SE-IV/2025-26,"LOT No. 2 Renovation of Nadeshiya Inspection House under Jhansi Division Betwa Canal Jhansi, in District Jhansi (U.P.)",1,5836396,M/S ANAND TRADERS,01-Feb-2026 11:14 AM,Accepted-AOC,L1,25-Feb-2026 02:35 PM,25-Feb-2026,"INR 10,204,674.11",540.0,Brijesh Kumar,25-Feb-2026 02:35 PM,LOA2.pdf (345.00 KB),AOC,Brijesh Kumar,Internal,Jitendra Kanaujia,Brijesh Kumar,12-Feb-2026 01:52 PM,16-Feb-2026 11:14 AM,techsummary_2047032.pdf (514.21 KB),Finance,All bids are admitted,Brijesh Kumar,25-Feb-2026 02:28 PM,,BOQ Comparative Chart,Brijesh Kumar,Internal,Jitendra Kanaujia,Brijesh Kumar,25-Feb-2026 11:14 AM,finsummary_2047032.pdf (7493.48 KB),Technical,All bids are admitted,Brijesh Kumar,12-Feb-2026 01:45 PM,,AOC,24-Jan-2026 10:00 AM,02-Feb-2026 03:30 PM,24-Jan-2026 10:00 AM,02-Feb-2026 03:00 PM,NA ,NA ,24-Jan-2026 10:00 AM,02-Feb-2026 03:00 PM,16-Feb-2026 11:00 AM,"LOT No. 2 Renovation of Nadeshiya Inspection House under Jhansi Division Betwa Canal Jhansi, in District Jhansi (U.P.)","LOT No. 2 Renovation of Nadeshiya Inspection House under Jhansi Division Betwa Canal Jhansi, in District Jhansi (U.P.)",Please refer Tender documents. ,NA ,"1,26,70,000",Civil Works,NA ,Tender,90.0,540.0,MOTH JHANSI,284303.0,NA ,NA ,NA ,Office of the Superintending Engineer 4 Circle Jha,No ,No,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENTS,"3,500",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",04/SE-IV/2025-26,2026_UPIDC_1108679_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"2,53,000",No,fixed,,Nil,Nil,Superintending Engineer 4 Circle Jhansi,Office of the Superintending Engineer 4 Circle Jhansi,AOC
,,,,,,,,,2,5837828,M/S PUSHPENDRA ENGINEERING ASSOCIATES,02-Feb-2026 01:35 PM,Rejected-AOC,L2,25-Feb-2026 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
