Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,2026_DOLBU_1107390_8,01/NPPKOSI/15 VITT NIRMAN/2025-26,ward no 07 shri ji puram me Dr. tularam se lakar Jasmat ke makan tak or Ghanshyam mastar se lakar dashrath Agrawal ke makan tak c c road or nali or ward no 18 me charan choudhary se lakar radharaman pandit tak interloking road ka nirman kary.,1.0,5855033.0,HARE KRISHNA CONTRACTOR AND SUPPLIER,INR,"746,369.95",1,5855033,HARE KRISHNA CONTRACTOR AND SUPPLIER,09-Feb-2026 08:36 AM,Accepted-AOC,ACCEPTED,28-Feb-2026 01:06 PM,28-Feb-2026,"INR 746,369.95",30.0,Yogendra Kumar Rawat,28-Feb-2026 01:06 PM,order.pdf (1571.00 KB),ward no 07 shri ji puram me Dr. tularam se lakar Jasmat ke makan tak or Ghanshyam mastar se lakar dashrath Agrawal ke makan tak c c road or nali or ward no 18 me charan choudhary se lakar radharaman p,e o,Internal,"JE CIVIL,ACCOUNTENT",Akhilesh kumar kumar,18-Feb-2026 10:49 AM,18-Feb-2026 11:15 AM,techsummary_2043838.pdf (361.79 KB),Finance,FINANCE,Yogendra Kumar Rawat,27-Feb-2026 05:16 PM,finance_2043838.pdf,BOQ Comparative Chart,EO,Internal,ACCOUNTENT. JE CIVIL,Yogendra Kumar Rawat,28-Feb-2026 12:27 PM,finsummary_2043838.pdf (1571.17 KB),Technical,technical,Akhilesh kumar kumar,18-Feb-2026 10:19 AM,technical_2043838.pdf,AOC,EO NPP KOSIKALAN,EO NPP KOSIKALAN,19-Jan-2026 01:00 PM,09-Feb-2026 03:00 PM,19-Jan-2026 01:00 PM,09-Feb-2026 02:00 PM,NA ,NA ,19-Jan-2026 01:00 PM,09-Feb-2026 02:00 PM,18-Feb-2026 11:15 AM,ward no 07 shri ji puram me Dr. tularam se lakar Jasmat ke makan tak or Ghanshyam mastar se lakar dashrath Agrawal ke makan tak c c road or nali or ward no 18 me charan choudhary se lakar radharaman pandit tak interloking road ka nirman kary.,ward no 07 shri ji puram me Dr. tularam se lakar Jasmat ke makan tak or Ghanshyam mastar se lakar dashrath Agrawal ke makan tak c c road or nali or ward no 18 me charan choudhary se lakar radharaman pandit tak interloking road ka nirman kary.,Please refer Tender documents. ,NA ,"7,48,766",Road Works,NA ,Tender,30.0,30.0,EO NPP KOSIKALAN,281403.0,NA ,NA ,NA ,EO NPP KOSIKALAN,No ,No,1.0,Fee/PreQual/Technical,.pdf,TENDARNOTICE,1.0,FDR - Fixed Deposit,"1,135",EO NPP KOSIKALAN,KOSIKALAN,No,Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,01/NPPKOSI/15 VITT NIRMAN/2025-26,2026_DOLBU_1107390_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"74,880",No,fixed,,EO NPP KOSIKALAN,KOSIKALAN,AOC
,,,,,,,,,2,5853844,MOHINI BUILDTECH,08-Feb-2026 07:50 PM,Rejected-Finance,NOT ACCEPTED,28-Feb-2026 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5855236,M/s SHYAM SUNDER AND COMPANY,09-Feb-2026 10:19 AM,Rejected-Finance,NOT ACCEPTED,28-Feb-2026 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
