Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EXECUTIVE ENGINEER,EE PD PWD GHAZIPUR,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,tech,General repair and renovation work on the Saidpur Chiraiyakot to Gorari via Kotisa connecting road,General repair and renovation work on the Saidpur Chiraiyakot to Gorari via Kotisa connecting road,Please refer Tender documents. ,NA ,"20,00,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Ghazipur,233001.0,NA ,NA ,NA ,EE PD PWD GHAZIPUR,No ,No,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Ghazipur",212/10 Lekha dt. 19.01.2026,2026_CEUVZ_1107770_24,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"2,00,000",Yes,fixed,,Nil,Nil,944.0,Nil,Nil,No,30-Jan-2026 12:00 PM,05-Feb-2026 12:30 PM,30-Jan-2026 12:00 PM,05-Feb-2026 12:00 PM,NA ,NA ,30-Jan-2026 12:00 PM,05-Feb-2026 12:00 PM,11-Feb-2026 09:00 AM,AOC,Finance,admitted,Brindavan Lal Gautam,21-Feb-2026 11:10 AM,,BOQ Comparative Chart,BRINDAVAN LAL GAUTAM,Internal,kiran pal,Brindavan Lal Gautam,21-Feb-2026 11:12 AM,finsummary_2045320.pdf (24.94 KB),1.0,5840164.0,M/S DEEPAK ENTERPRISES,INR,"1,598,830.62",1,5840164,M/S DEEPAK ENTERPRISES,03-Feb-2026 03:58 PM,Accepted-AOC,bond deepak,27-Feb-2026 08:54 PM,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Ghazipur",2026_CEUVZ_1107770_24,212/10 Lekha dt. 19.01.2026,General repair and renovation work on the Saidpur Chiraiyakot to Gorari via Kotisa connecting road,27-Feb-2026,"INR 1,598,830.62",30.0,Brindavan Lal Gautam,27-Feb-2026 08:54 PM,KotisaDeepak.pdf (175.00 KB),98/10 Lekha,Technical,admitted,Brindavan Lal Gautam,10-Feb-2026 05:58 PM,,Brindavan Lal Gautam,Internal,kiran pal,Brindavan Lal Gautam,11-Feb-2026 08:43 AM,11-Feb-2026 09:00 AM,techsummary_2045320.pdf (2436.01 KB),AOC
,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5838459,RIYA CONSTRUCTION,04-Feb-2026 12:31 AM,Rejected-Finance,Not Qualified AOC,21-Feb-2026 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
