Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Gursarai Jhansi,367/NPPG/15va Tied/Untied/2025-26 Date- 05-02-2026,2026_DOLBU_1113677_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EO,NPP GURSARAI,Npp Gursarai Mohalla Bazar Ward No 22 Me SBI Bank Ke Samne C.C Sadak Ka Nirman,Npp Gursarai Mohalla Bazar Ward No 22 Me SBI Bank Ke Samne C.C Sadak Ka Nirman,Please refer Tender documents. ,NA ,"3,23,062",Civil Works - Others,NA ,Tender,30.0,30.0,npp gursarai,284202.0,NA ,NA ,NA ,npp gursarai,No ,No,"32,306",Yes,fixed,,EO,NPP GURSARAI,663.0,EO,NPP GURSARAI,Yes,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,Technical,09-Feb-2026 12:00 PM,25-Feb-2026 12:00 PM,09-Feb-2026 12:00 PM,24-Feb-2026 05:00 PM,NA ,NA ,09-Feb-2026 12:00 PM,24-Feb-2026 05:00 PM,28-Feb-2026 05:15 PM,AOC,"AJAY KUMAR YADAV EO, SONU YADAV ACCOUNTANT, SHRESHTH KUSHWAHA JE",Internal,"AJAY KUMAR YADAV EO, SONU YADAV ACCOUNTANT, SHRESHTH KUSHWAHA JE",Ajay Kumar Yadav,28-Feb-2026 07:36 PM,finsummary_2062706.pdf (519.00 KB),Technical,Executive Officer,Sonu Yadav,28-Feb-2026 11:39 AM,technical_2062706.pdf,"AJAY KUMAR YADAV EO, SONU YADAV ACCOUNTANT, SHRESHTH KUSHWAHA JE",Internal,"AJAY KUMAR YADAV EO, SONU YADAV ACCOUNTANT, SHRESHTH KUSHWAHA JE",Ajay Kumar Yadav,28-Feb-2026 12:13 PM,28-Feb-2026 05:15 PM,techsummary_2062706.pdf (519.00 KB),Finance,Financial,Sonu Yadav,28-Feb-2026 06:41 PM,finance_2062706.pdf,BOQ Comparative Chart,1,5918792,M/S BALVEER SINGH THEKEDAR,23-Feb-2026 06:46 PM,Accepted-AOC,AOC,28-Feb-2026 08:44 PM,1.0,5918792.0,M/S BALVEER SINGH THEKEDAR,INR,"322,901",Directorate of Local Bodies UP||Nagar Palika Parishad Gursarai Jhansi,2026_DOLBU_1113677_1,367/NPPG/15va Tied/Untied/2025-26 Date- 05-02-2026,Npp Gursarai Mohalla Bazar Ward No 22 Me SBI Bank Ke Samne C.C Sadak Ka Nirman,28-Feb-2026,"INR 322,901",30.0,Ajay Kumar Yadav,28-Feb-2026 08:44 PM,sbibanksesamneaoc.pdf (604.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5919081,M/s CHAUHAN TRADERS,23-Feb-2026 07:32 PM,Rejected-Finance,L2,28-Feb-2026 07:36 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5922843,ms manoj kumar thekedar,24-Feb-2026 11:59 AM,Rejected-Finance,L3,28-Feb-2026 07:36 PM,,,,,,,,,,,,,,,,,AOC
