Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Technical bid open,Sujit Kumar Sinha,26-Jan-2026 02:06 PM,technical_2037201.pdf,02-Feb-2026,"INR 631,716.67",180.0,Sujit Kumar Sinha,04-Feb-2026 05:01 PM,Document2.pdf (26.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,28-Jan-2026 04:30 PM,29-Jan-2026 12:00 PM,techsummary_2037201.pdf (434.82 KB),1,5806304,M/S TEJ CONSTRUCTIONS,23-Jan-2026 05:31 PM,Rejected-Finance,High,29-Jan-2026 04:24 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1104326_10,"897/RED/Etender(25)/2025-26, Dt. 18.12.2025",G.P. Hatwa Hardaas me pich road se Ramanuj ke ghar hote huye Babu Trivedi ke ghar tak interlocking nirman kaerya-Payagpur_10,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,29-Jan-2026 04:24 PM,finsummary_2037201.pdf (43.84 KB),Finance,Financial bid open,Sujit Kumar Sinha,29-Jan-2026 02:19 PM,finance_2037201.pdf,BOQ Comparative Chart,1.0,5806339.0,M/s Vikram Jaiswal,INR,"631,716.67",AOC,07-Jan-2026 02:00 PM,24-Jan-2026 12:30 PM,07-Jan-2026 02:00 PM,24-Jan-2026 12:00 PM,NA ,NA ,07-Jan-2026 02:00 PM,24-Jan-2026 12:00 PM,29-Jan-2026 12:00 PM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical bid document,788.0,Nil,Nil,No,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",1.0,Dage Corrigendum,Date,,"10,800",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"897/RED/Etender(25)/2025-26, Dt. 18.12.2025",2026_REDUP_1104326_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,G.P. Hatwa Hardaas me pich road se Ramanuj ke ghar hote huye Babu Trivedi ke ghar tak interlocking nirman kaerya-Payagpur_10,G.P. Hatwa Hardaas me pich road se Ramanuj ke ghar hote huye Babu Trivedi ke ghar tak interlocking nirman kaerya-Payagpur_10,Please refer Tender documents. ,NA ,"5,36,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,AOC
,,,,,,,,,,,,,,,,,,2,5806339,M/s Vikram Jaiswal,20-Jan-2026 11:05 PM,Accepted-AOC,AOC,04-Feb-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
