Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of CC Road and Nali Mohalla Gandhi Nagar Suneel to Aneeta,Construction of CC Road and Nali Mohalla Gandhi Nagar Suneel to Aneeta,Construction of CC Road and Nali Mohalla Gandhi Nagar Suneel to Aneeta ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Nagar Palika Parishad Noorpur,246734.0,NA ,NA ,NA ,Nagar Palika Parishad Noorpur,No ,No,"1,180",EO,Noorpur,No,1.0,FDR - Fixed Deposit,"62,360",No,fixed,,EO,Noorpur,Directorate of Local Bodies UP||Nagar Palika Parishad Noorpur Bijnor,1741/EO/2025-26,2026_DOLBU_1104165_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Documents,Executive Officer,Nagar Palika Parishad Noorpur,06-Jan-2026 02:00 PM,21-Jan-2026 05:00 PM,06-Jan-2026 02:00 PM,21-Jan-2026 04:00 PM,NA ,NA ,06-Jan-2026 02:00 PM,21-Jan-2026 04:00 PM,29-Jan-2026 03:00 PM,AOC,Santosh Kumar Mishra,Internal,"E.O. , J.E. , Accountant",Himanshu Sharma,29-Jan-2026 03:34 PM,finsummary_2036858.pdf (408.61 KB),Technical,Three bids are submitted and all bids documents are OK.,Santosh Kumar Mishra,29-Jan-2026 10:46 AM,technical_2036858.pdf,Santosh Kumar Mishra,Internal,"E.O. , J.E. , Accountant",Santosh Kumar Mishra,29-Jan-2026 11:03 AM,29-Jan-2026 03:00 PM,techsummary_2036858.pdf (450.72 KB),Finance,Three bids are submitted and one bid is lowest.,Himanshu Sharma,29-Jan-2026 03:27 PM,finance_2036858.pdf,BOQ Comparative Chart,1.0,5816967.0,OM CONSTRUCTIONS,INR,"620,191",Directorate of Local Bodies UP||Nagar Palika Parishad Noorpur Bijnor,2026_DOLBU_1104165_4,1741/EO/2025-26,Construction of CC Road and Nali Mohalla Gandhi Nagar Suneel to Aneeta,1,5817084,M/S BHARAT CONSTRUCTION,21-Jan-2026 03:30 PM,Rejected-AOC,Rejected,06-Feb-2026 05:15 PM,04-Feb-2026,"INR 620,191",90.0,Santosh Kumar Mishra,06-Feb-2026 05:15 PM,15thvittworkorderwork04.pdf (614.00 KB),Dispatch No 2055,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5816967,OM CONSTRUCTIONS,21-Jan-2026 02:31 PM,Accepted-AOC,Accepted,06-Feb-2026 05:15 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5817027,SACHIN CONSTRUCTION,20-Jan-2026 10:51 PM,Rejected-AOC,Rejected,06-Feb-2026 05:15 PM,,,,,,,,AOC
