Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,03/E-Tender/2025-26 dt. 01.01.2026,2026_PWDBL_1105077_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,770.0,Nil,Nil,No,"35,100",No,fixed,,Nil,Nil,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,1.0,SBI Bank,10-Jan-2026 09:00 AM,15-Jan-2026 12:30 PM,10-Jan-2026 09:00 AM,15-Jan-2026 12:00 PM,NA ,NA ,10-Jan-2026 09:00 AM,15-Jan-2026 12:00 PM,"Darulshafa Compound sthit Vidhayak Nivas-2 se Bangla No.-7B tak shatigrast water supply pipeline ko badalne ka karya, aawas ko jodne wale shatigrast pipeline ko badalne ka karya, avem anya avashyak karya.","Darulshafa Compound sthit Vidhayak Nivas-2 se Bangla No.-7B tak shatigrast water supply pipeline ko badalne ka karya, aawas ko jodne wale shatigrast pipeline ko badalne ka karya, avem anya avashyak karya.",Please refer Tender documents. ,NA ,"3,51,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,12-Jan-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,AOC,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1105077_10,03/E-Tender/2025-26 dt. 01.01.2026,"Darulshafa Compound sthit Vidhayak Nivas-2 se Bangla No.-7B tak shatigrast water supply pipeline ko badalne ka karya, aawas ko jodne wale shatigrast pipeline ko badalne ka karya, avem anya avashyak karya.",1,5802190,M/S B.P.Traders,14-Jan-2026 07:46 AM,Rejected-Finance,Financial bid Rejected due to L2,28-Feb-2026 01:16 PM,1.0,5802150.0,M/S NEW KHANNA CONSTRUCTION,INR,"315,853.62",EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,28-Feb-2026 01:16 PM,finsummary_2039126.pdf (3516.48 KB),28-Feb-2026,"INR 315,853.62",30.0,DILIP KUMAR,28-Feb-2026 01:21 PM,296.pdf (714.00 KB),AOC for Acceptance No 296 date 10.02.2026,Finance,Evaluation Letter,DILIP KUMAR,19-Jan-2026 04:29 PM,finance_2039126.pdf,BOQ Comparative Chart,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,28-Feb-2026 01:11 PM,techsummary_2039126.pdf (3516.48 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5802150,M/S NEW KHANNA CONSTRUCTION,14-Jan-2026 06:59 PM,Accepted-AOC,Financial bid is accepted at the Price Rs. 315853.62 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,28-Feb-2026 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
