Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Baghpat Baghpat,1330/NPPB-ET/2025-2026 31-12-2025,2026_DOLBU_1103218_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EO,"NPP, BAGHPAT",1.0,Fee/PreQual/Technical,.pdf,Tender Documents,01-Jan-2026 11:43 AM,23-Jan-2026 12:00 PM,01-Jan-2026 12:30 PM,22-Jan-2026 12:00 PM,NA ,NA ,01-Jan-2026 12:30 PM,22-Jan-2026 12:00 PM,27-Jan-2026 12:00 PM,1.0,RTGS - RTGS Payment,"48,600",No,fixed,,EO,"NPP, BAGHPAT","3,082",EO,"NPP, BAGHPAT",No,WORK NO-06 WARD NO-10 ME SHALIGRAM MANDIR KI BOUNDRYWALL KA NIRMAN KARYA,WORK NO-06 WARD NO-10 ME SHALIGRAM MANDIR KI BOUNDRYWALL KA NIRMAN KARYA,TECHNICAL DOCUMENTS  ,NA ,"24,27,800",Miscellaneous Works,NA ,Tender,90.0,90.0,"NPP, BAGHPAT",250609.0,NA ,NA ,NA ,"NPP, BAGHPAT",No ,No,AOC,All Committee Members,Internal,,Krishan Kumar,27-Jan-2026 11:44 AM,27-Jan-2026 12:00 PM,techsummary_2034569.pdf (420.14 KB),Finance,Fincial_Bids_are_under_Evaluation_at_Tender_Cell.PDF,Bijeta Srivastava,27-Jan-2026 12:34 PM,finance_2034569.pdf,BOQ Comparative Chart,All Committee Members,Internal,,Krishan Kumar,02-Feb-2026 06:05 PM,finsummary_2034569.pdf (211.54 KB),Technical,Bids_are_under_Evaluation_at_Tender_Cell.PDF,Bijeta Srivastava,24-Jan-2026 01:39 PM,technical_2034569.pdf,1.0,5818517.0,M/S SUNIL TRADERS,INR,"2,425,857.76",Directorate of Local Bodies UP||Nagar Palika Parishad Baghpat Baghpat,2026_DOLBU_1103218_6,1330/NPPB-ET/2025-2026 31-12-2025,WORK NO-06 WARD NO-10 ME SHALIGRAM MANDIR KI BOUNDRYWALL KA NIRMAN KARYA,1,5818486,M/S S.A. BUILDERS AND ENGINEER,22-Jan-2026 12:27 AM,Rejected-Finance,L2,02-Feb-2026 06:05 PM,02-Feb-2026,"INR 2,425,857.76",90.0,Krishan Kumar,02-Feb-2026 06:07 PM,6BAGHPAT.pdf (212.00 KB),L1,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5818517,M/S SUNIL TRADERS,22-Jan-2026 06:29 AM,Accepted-AOC,L1,02-Feb-2026 06:07 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5818401,M/S TANVEER AHAMAD CONTRACTOR,21-Jan-2026 10:57 PM,Rejected-Finance,L3,02-Feb-2026 06:05 PM,,,,,,,,AOC
