Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Improvement work of road by CC from M.No. 99/307 to 100/517 to 100/535 under ward-97 zone-04.,Improvement work of road by CC from M.No. 99/307 to 100/517 to 100/535 under ward-97 zone-04.,Please refer Tender documents. ,NA ,"14,42,604",Civil Works,NA ,Tender,90.0,60.0,Ward-97,208001.0,NA ,NA ,NA ,"Chief Engineer Office, KNN, Motijheel, Kanpur",No ,No,"1,44,260",No,percentage,10.0%,Nil,Nil,05-Jan-2026 04:00 PM,08-Jan-2026 04:00 PM,05-Jan-2026 04:00 PM,08-Jan-2026 03:00 PM,NA ,NA ,05-Jan-2026 04:00 PM,08-Jan-2026 03:00 PM,1.0,SBI Bank,"Kanpur Municipal Corporation, Kanpur, UP",196/AA-4/25-26,2026_NNKAN_1103953_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"Chief Engineer, KNN","Chief Engineer Office, KNN, Motijheel",1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,AOC,"Jr. Engg., Exe. Engg.",Internal,"J.E., A.E., E.E.-4",Nanak Chand,13-Jan-2026 07:05 PM,finsummary_2036294.pdf (401.47 KB),"Jr. Engg., Exe. Engg.",Internal,"J.E, E.E.-4",Nanak Chand,13-Jan-2026 06:53 PM,techsummary_2036294.pdf (213.72 KB),04-Feb-2026,"INR 1,419,522",60.0,Nanak Chand,06-Feb-2026 07:09 PM,99by307_100by517_AOC.pdf (524.00 KB),AOC issue,1,5793509,M/s Farhan Enterprises,07-Jan-2026 04:48 PM,Accepted-AOC,AOC issue,06-Feb-2026 07:09 PM,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1103953_1,196/AA-4/25-26,Improvement work of road by CC from M.No. 99/307 to 100/517 to 100/535 under ward-97 zone-04.,1.0,5793509.0,M/s Farhan Enterprises,INR,"1,419,522",Finance,Bid and document found,Nanak Chand,13-Jan-2026 06:41 PM,finance_2036294.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of pending work affidavit,AOC,,,,,,,,,,,,,,,,,,,,2,5791912,M/S INDIAN BUILDER,06-Jan-2026 02:25 PM,Rejected-Finance,L2 Bidder,13-Jan-2026 07:05 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,5791927,M/S S.A BUILDERS,06-Jan-2026 02:22 PM,Rejected-Finance,L3 Bidder,13-Jan-2026 07:05 PM,,,,,,,,,,,,,,,,AOC
