S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,RTGS - RTGS Payment,"1,652",EE UPSCIDCO,BAREILLY,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,1121-3/E.E. BLY/E-Tender/BLY/2025-26 Dt. 11.02.2026,2026_SCIDC_1114992_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,11-Feb-2026 06:55 PM,18-Feb-2026 02:00 PM,11-Feb-2026 06:55 PM,18-Feb-2026 01:00 PM,NA ,NA ,11-Feb-2026 06:55 PM,18-Feb-2026 01:00 PM,19-Feb-2026 04:00 PM,"20,300",No,fixed,,EE UPSCIDCO,BAREILLY,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",Construction of C.C. Road and Drain work at Vill. Gudwara in Main Road to Tejpal Maurya House (Vidhayak Nidhi),Construction of C.C. Road and Drain work at Vill. Gudwara in Main Road to Tejpal Maurya House (Vidhayak Nidhi),Construction of C.C. Road and Drain work at Vill. Gudwara in Main Road to Tejpal Maurya House (Vidhayak Nidhi) ,NA ,"10,14,711",Civil Works - Roads,Const. of C.C. Road and Drain work at Gudwara ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",AOC,Finance,Financial Bid Opening Summary,Charan Singh Arya,20-Feb-2026 01:57 PM,finance_2068449.pdf,BOQ Comparative Chart,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,19-Feb-2026 03:58 PM,19-Feb-2026 04:00 PM,techsummary_2068449.pdf (266.46 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,19-Feb-2026 03:36 PM,technical_2068449.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,26-May-2026 11:16 AM,finsummary_2068449.pdf (741.26 KB),20-Feb-2026,"INR 1,014,406.59",60.0,Charan Singh Arya,20-Feb-2026 05:47 PM,LOI3.pdf (773.00 KB),Total Contract Value Rs. 1014406.59,1,5891795,m i construction,18-Feb-2026 11:16 AM,Rejected-AOC,IInd Lowest Rate,20-Feb-2026 05:47 PM,1.0,5880964.0,Syed Construction,INR,"1,014,406.59",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1114992_1,1121-3/E.E. BLY/E-Tender/BLY/2025-26 Dt. 11.02.2026,Construction of C.C. Road and Drain work at Vill. Gudwara in Main Road to Tejpal Maurya House (Vidhayak Nidhi),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5880964,Syed Construction,18-Feb-2026 07:25 AM,Accepted-AOC,Ist Lowest Rate,20-Feb-2026 05:47 PM,,,,,,,,,,AOC
