S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,FDR - Fixed Deposit,"22,500",No,fixed,,UPSCIDCO,BASTI,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",20-Jan-2026 09:00 AM,27-Jan-2026 02:00 PM,20-Jan-2026 09:00 AM,27-Jan-2026 01:00 PM,20-Jan-2026 09:00 AM ,27-Jan-2026 01:00 PM ,20-Jan-2026 09:00 AM,27-Jan-2026 01:00 PM,07-Feb-2026 04:00 PM,1,Fee/PreQual/Technical,.pdf,NIT,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2018 /EE SKN /E-Tender /Vidhayak Nidhi Harraiya Basti /2025-26 Dated 19-01-2026,2026_SCIDC_1107693_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of Smriti Dwara work at Gram Panchayat Ataraura Jham Me Swatantrata Sangram Senani Harnam Singh Block Vikarmjot Distt Basti. (Vidhayak Nidhi Harraiya Basti),Construction of Smriti Dwara work at Gram Panchayat Ataraura Jham Me Swatantrata Sangram Senani Harnam Singh Block Vikarmjot Distt Basti. (Vidhayak Nidhi Harraiya Basti),As Given in NIT ,NA ,"11,19,765",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",24-Jan-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,"1,652",UPSCIDCO,BASTI,No,AOC,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,07-Feb-2026 01:47 PM,07-Feb-2026 04:00 PM,techsummary_2044361.pdf (579.12 KB),Finance,M/s GEETA TRADING AND CONSTRUCTION found L1,Ramesh Bahadur Shahi,10-Feb-2026 07:00 PM,finance_2044361.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,10-Feb-2026 07:02 PM,finsummary_2044361.pdf (468.68 KB),Technical,M/S AANYA CONSTRUCTION and M/s GEETA TRADING AND CONSTRUCTION Found,Ramesh Bahadur Shahi,07-Feb-2026 01:46 PM,technical_2044361.pdf,1.0,5823014.0,GEETA TRADING AND CONSTRUCTION,INR,"1,119,093",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1107693_1,2018 /EE SKN /E-Tender /Vidhayak Nidhi Harraiya Basti /2025-26 Dated 19-01-2026,Construction of Smriti Dwara work at Gram Panchayat Ataraura Jham Me Swatantrata Sangram Senani Harnam Singh Block Vikarmjot Distt Basti. (Vidhayak Nidhi Harraiya Basti),1,5823014,GEETA TRADING AND CONSTRUCTION,25-Jan-2026 07:28 PM,Accepted-AOC,L1,16-Feb-2026 10:03 AM,16-Feb-2026,"INR 1,119,093",90.0,Ramesh Bahadur Shahi,16-Feb-2026 10:03 AM,11Ataraura.pdf (769.00 KB),M/s Grrta Trading and Construction Found L1,AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5822980,M/S AANYA CONSTRUCTION,25-Jan-2026 09:18 PM,Rejected-Finance,L2,10-Feb-2026 07:02 PM,,,,,,,,AOC
