S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5811480.0,M/S MAA AMBEY CONSTRUCTION COMPANY,INR,"6,669,586.67",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1105805_1,1255/SE RED Gorakhpur/Maharajganj/25-26 Dt 16/12/2025,"Under District Maharajganj, Construction of CC Road from Siswa-Nichalal Bypass Road Ward No. 19 Shivaji Nagar Ram Vilas house to the vacant land of Sushal, Lot No 1",1,5811480,M/S MAA AMBEY CONSTRUCTION COMPANY,17-Jan-2026 06:23 AM,Accepted-AOC,AoC,06-Feb-2026 12:14 PM,06-Feb-2026,"INR 6,669,586.67",90.0,Dileep Shukla,06-Feb-2026 12:14 PM,1255_1.pdf (202.00 KB),Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,26-May-2026 11:23 AM,finsummary_2040340.pdf (201.81 KB),Technical,Summary,Dileep Shukla,20-Jan-2026 03:44 PM,,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED Gorakhpur Circle, Er Surya Prakash EE RED Kushinagar, Er P K Bharti EE RED Maharajganj, Mr Praveen Kumar DAO RED Maharajganj",Dileep Shukla,24-Jan-2026 09:12 AM,27-Jan-2026 12:00 PM,techsummary_2040340.pdf (213.13 KB),Finance,Summary,Dileep Shukla,27-Jan-2026 01:44 PM,,BOQ Comparative Chart,AOC,13-Jan-2026 11:00 AM,20-Jan-2026 12:30 PM,13-Jan-2026 11:00 AM,19-Jan-2026 12:00 PM,NA ,NA ,13-Jan-2026 11:00 AM,19-Jan-2026 12:00 PM,27-Jan-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,1255/SE RED Gorakhpur/Maharajganj/25-26 Dt 16/12/2025,2026_REDUP_1105805_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED Gorakhpur Circle,"SE RED GORAKHPUR CIRCLE ,Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",1.0,SBI Bank,"Under District Maharajganj, Construction of CC Road from Siswa-Nichalal Bypass Road Ward No. 19 Shivaji Nagar Ram Vilas house to the vacant land of Sushal, Lot No 1","Under District Maharajganj, Construction of CC Road from Siswa-Nichalal Bypass Road Ward No. 19 Shivaji Nagar Ram Vilas house to the vacant land of Sushal, Lot No 1",Please refer Tender documents. ,NA ,"57,07,000",Civil Works,NA ,Tender,90.0,90.0,Maharajganj,273303.0,SE RED Gorakhpur Circle ,"SE RED GORAKHPUR CIRCLE ,Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur  ",17-Jan-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,"1,17,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,FEES AND TECHNICAL DOCUMENTS,"2,714",Nil,Nil,No,AOC
,,,,,,,,,2,5811438,PREM ENTERPRISES,17-Jan-2026 05:56 PM,Rejected-Finance,Rejected,06-Feb-2026 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENTS(BoQ),,,,,AOC
