Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1107976_1,2030 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 20-01-2026,Construction of CC Road work at Haluwa Gonha Marg Par Sirasiya Radheshyam Ke Ghar Se shrwan Ke Ghar Tak Block Gaur Distt Basti. (Sansad Nidhi Basti),1.0,5823394.0,M/S JAI CONSTRUCTION,INR,"1,574,138",1,5823100,AKANKSHA ASSOCIATES,25-Jan-2026 12:40 PM,Rejected-Finance,L2,13-Feb-2026 03:19 PM,18-Feb-2026,"INR 1,574,138",90.0,Ramesh Bahadur Shahi,18-Feb-2026 04:51 PM,3HaluwaGonaha.pdf (970.00 KB),M/s Jai Construction Found L1,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,13-Feb-2026 03:19 PM,finsummary_2045118.pdf (701.29 KB),Technical,M/s AKANKSHA ASSOCIATES and M/S JAI CONSTRUCTION Found,Ramesh Bahadur Shahi,10-Feb-2026 07:16 PM,technical_2045118.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,10-Feb-2026 07:19 PM,11-Feb-2026 09:00 AM,techsummary_2045118.pdf (372.15 KB),Finance,M/S JAI CONSTRUCTION Found L1,Ramesh Bahadur Shahi,13-Feb-2026 03:14 PM,finance_2045118.pdf,BOQ Comparative Chart,AOC,1,FDR - Fixed Deposit,21-Jan-2026 09:00 AM,28-Jan-2026 02:00 PM,21-Jan-2026 09:00 AM,28-Jan-2026 01:00 PM,21-Jan-2026 09:00 AM ,28-Jan-2026 01:00 PM ,21-Jan-2026 09:00 AM,28-Jan-2026 01:00 PM,11-Feb-2026 09:00 AM,1,Fee/PreQual/Technical,.pdf,NIT,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti","1,652",UPSCIDCO,BASTI,No,"31,500",No,fixed,,UPSCIDCO,BASTI,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2030 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 20-01-2026,2026_SCIDC_1107976_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of CC Road work at Haluwa Gonha Marg Par Sirasiya Radheshyam Ke Ghar Se shrwan Ke Ghar Tak Block Gaur Distt Basti. (Sansad Nidhi Basti),Construction of CC Road work at Haluwa Gonha Marg Par Sirasiya Radheshyam Ke Ghar Se shrwan Ke Ghar Tak Block Gaur Distt Basti. (Sansad Nidhi Basti),As Given in NIT ,NA ,"15,74,611",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",24-Jan-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,AOC
,,,,,,,,,2,5823394,M/S JAI CONSTRUCTION,25-Jan-2026 04:34 PM,Accepted-AOC,L1,18-Feb-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,RTGS - RTGS Payment,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
