Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,087/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,2026_SCIDC_1106280_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,14-Jan-2026 03:00 PM,21-Jan-2026 11:00 AM,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,NA ,NA ,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,23-Jan-2026 01:25 PM,"Construction work of 100.00 meter CC tiles road and drain from the house of Jeemal Ahmed towards the house of Tasleem in village Ratupura, Block-Thakurdwara, District Moradabad. (MLA-Nidhi Work)","Construction work of 100.00 meter CC tiles road and drain from the house of Jeemal Ahmed towards the house of Tasleem in village Ratupura, Block-Thakurdwara, District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"6,49,079",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,Fee,.pdf,FEE,1.0,FDR - Fixed Deposit,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD","13,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,AOC,Finance,FINANCIAL REPORT,Avdhesh kumar Verma,28-Jan-2026 10:32 AM,,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,23-Jan-2026 01:23 PM,23-Jan-2026 01:25 PM,techsummary_2041055.pdf (859.69 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,23-Jan-2026 01:02 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,28-Jan-2026 11:29 AM,finsummary_2041055.pdf (623.23 KB),29-Jan-2026,"INR 648,754.46",60.0,Avdhesh kumar Verma,11-Feb-2026 01:40 PM,087NIT0126WOMBD.pdf (523.00 KB),LOI OF WORK,1.0,5816294.0,A TO Z CONSTRUCTION,20-Jan-2026 01:56 PM,Accepted-AOC,AMOUNT IS LOWEST,11-Feb-2026 01:40 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1106280_1,087/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,"Construction work of 100.00 meter CC tiles road and drain from the house of Jeemal Ahmed towards the house of Tasleem in village Ratupura, Block-Thakurdwara, District Moradabad. (MLA-Nidhi Work)",1.0,5816294.0,A TO Z CONSTRUCTION,INR,"648,754.46",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,2.0,RTGS - RTGS Payment,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5815576.0,M/S A.H CONSTRUCTION AND DEVLOPERS,20-Jan-2026 08:52 AM,Rejected-Finance,AMOUNT IS HIGH,28-Jan-2026 11:29 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
